group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.8111,0.574,-2.7069,1.0847,False
0,2,-0.4445,0.7321,-1.8316,0.9427,False
1,2,0.3666,0.9109,-1.7255,2.4587,False
