group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.4432,0.9203,-2.2379,1.3514,False
0,2,-1.4929,0.2026,-3.45,0.4643,False
0,3,-1.3418,0.4815,-3.7601,1.0764,False
1,2,-1.0496,0.3357,-2.6599,0.5607,False
1,3,-0.8986,0.7031,-3.0458,1.2486,False
2,3,0.151,0.9982,-2.1338,2.4358,False
