PCA1,PCA2,Cell Number,Area_MA,Cluster
-3.8993504401887042,0.20348170801030016,2,20663.0,1
-3.8084334508891327,0.0957283212529238,2,20288.0,1
-3.32663575911832,-0.7452995517232488,2,20436.33333333333,1
-3.39788914143527,-0.580725481423288,2,19705.75,1
-3.3737440746074387,-0.5646230900723345,2,19598.2,1
-3.1812279695322974,-0.7080609634543374,2,19421.6,1
-3.099517960638346,-0.7841899920377657,2,19546.8,1
-2.7227502612845753,-0.500899118885734,2,20421.8,1
-2.180388021675904,-0.6148742566983393,2,21857.4,1
-2.0838179247589426,-0.43106807194546065,2,22310.4,1
-1.9860985326540619,-0.7635130790380726,2,22947.2,1
-2.0025223476475134,-0.7948068894939109,2,22901.2,1
-2.739380495796861,-0.5019506494332403,2,21601.8,1
-3.2599349700620817,-0.8224075280077564,2,20773.6,1
-3.455529228480933,-1.2384054122136838,2,20311.0,1
-3.430634810539904,-1.1637722782146476,2,20161.4,1
-3.0961529459623174,-1.4377905252551768,2,20282.2,1
-2.8627195203119205,-2.21762347328632,2,20865.4,1
-2.82549650057569,-1.6900553036876511,2,20691.2,1
-2.573386349594199,-1.8588857509916763,2,21067.8,1
-2.5519117003685365,-2.1441344595166454,2,20724.8,1
-2.8854352435910875,-2.0532956035977836,2,20190.8,1
-2.8421217351991395,-1.4486126182597365,2,19710.4,1
-2.6961618094691766,-1.5734861303046999,2,19397.0,1
-2.9078271501896187,-0.9136314965060935,2,18771.6,1
-3.2171902647383597,-0.1360163781634711,2,18271.6,1
-2.9309837517203743,0.3977375225620531,2,18958.6,1
-2.789465046462755,0.73676863402773,2,19197.4,1
-2.9396625652198556,0.9795766391107797,2,19214.4,1
-2.9207271851640373,0.9953184867274456,2,19219.8,1
-2.8619920705236837,1.038846644029926,2,19229.2,1
-3.225733745896705,0.9216948675571057,2,18360.4,1
-3.5540425882100024,0.8103419451554262,2,17789.0,1
-3.6078630815833703,0.7657957506785904,2,17584.6,1
-3.5882589732264063,0.756904910656331,2,17307.8,1
-2.827999588677368,0.8427052454799334,2,18844.8,1
-2.0518472344056384,0.9112833877899439,2,20592.6,1
-1.8824626396226463,0.9725070974968263,2,20536.6,1
-1.033529649152729,0.9969831407929123,2,22457.2,2
-0.28275795990563884,1.0119269702364484,2,23991.2,2
-0.7336358445986417,1.02029695273352,2,22234.2,2
-1.1395062831963378,1.0976354089999227,2,20409.2,1
-0.39452674826370654,1.2442370107462013,2,21779.6,2
-0.5888310417493126,1.4307587466475438,2,19912.2,2
-0.6050950296443732,1.716187372853978,2,18968.2,2
-0.1789416561781226,1.9096411995685916,2,19404.4,2
0.28084762425901677,2.1160398000497165,2,19827.2,2
-0.3714949298542625,1.9067822201223787,2,17012.0,2
-0.24338570926728453,2.0231163745873215,2,17295.4,2
-0.2167313376755873,2.049647297702233,2,17224.8,2
-0.18736808652549658,2.055801693079417,2,17215.8,2
-0.10619405005855195,2.055248287812097,2,17306.0,2
0.16720458857168943,2.256243789824512,2,18503.2,2
-0.2112053974367099,2.0112090205299364,2,18066.6,2
-0.5449898510239624,1.6870649334160068,2,17748.0,2
-1.0856690289585222,1.4284011134065326,2,17220.6,2
-1.6042098265471239,0.8281821844989279,2,16656.2,1
-1.8976862805907266,0.659597850642205,2,16929.0,1
-2.081455019890837,0.6023600683362935,2,17055.4,1
-1.7150433574329658,0.5576643689340128,2,18469.6,1
-1.2689217358229603,0.34102434756946676,2,20288.0,1
-0.9258158124479526,0.46369738923275605,2,21720.4,1
-0.7767291535565424,0.3996074080742581,2,21438.4,2
-0.08160994834265592,0.16352062895365588,2,22589.6,2
-0.38452412663533186,-0.043285818566537806,2,20946.8,2
-0.5619797478688691,0.10549259322888246,2,20110.6,2
-0.6735514871760995,0.20729683474779229,2,19685.2,2
-0.46991194816491333,0.15171747513599168,2,20562.2,2
1.3811068679161878,0.3668159447595025,3,48207.0,2
0.17080676425574323,0.4600868005444935,3,41907.5,2
-0.7403484787675658,0.5240933671764383,3,39828.333333333336,2
-0.0770148941322596,0.6925669320044565,3,42790.25,2
-0.5600826889684416,0.7108526306142826,3,41632.4,2
-1.692346716915853,0.6359806285989443,3,38676.0,1
-1.2477211059592392,0.6821907616899658,3,42149.2,1
-0.4534635100052082,0.711178110253277,3,45546.2,2
-0.5739314608717692,0.7317062729584611,3,45860.4,2
0.32777119639009983,0.6867975434895576,3,48635.8,2
0.6690371095396334,0.8101695158839567,3,47663.6,2
0.04911832808192091,0.698187334345978,3,43954.6,2
-0.4894531992867659,0.7979343888031432,3,41054.2,2
-1.3840226651018628,0.6052778775695719,3,37123.2,1
-2.04289356315934,0.7157408134614611,3,34679.8,1
-1.979021360927099,0.7544507837486528,3,36040.6,1
-2.0115252620071944,0.8906441014620623,3,36404.0,1
-2.1140003764578132,0.729975174827964,3,36269.0,1
-1.9219230352377872,0.7501831961249973,3,37818.0,1
-2.2653342042041085,0.6005690131307568,3,37637.2,1
-1.712602977799594,0.5663266947967771,3,40287.4,1
-1.1974367837045408,0.5467596864444678,3,43908.6,1
-0.5555202265589481,0.3430446415457601,3,48151.4,2
-0.5392809357228183,0.2842514111164652,3,48893.2,2
-0.36766965964815684,0.1475053874348381,3,49335.8,2
-0.8693648755481961,-0.007991995280622253,3,48007.0,1
-1.4453177181985417,-0.12822238479835224,3,45244.2,1
-2.1626021638498654,0.008250203509143362,3,41082.0,1
-2.1498649166368256,0.07562236910798666,3,39335.0,1
-2.1111021263043006,0.1648649571512571,3,39945.0,1
-1.781315510777648,-0.041120680957443194,3,39630.2,1
-1.3765666134227008,-0.16476738512367017,3,39360.6,1
-1.1778170138429453,-0.29425521654631703,3,41062.4,1
-1.020183307116394,-0.39628105915176887,3,42925.4,1
-1.087081322571716,-0.3732277186679065,3,41914.6,1
-0.7986346303781737,-0.32821536755841324,3,43701.6,1
-1.2355360000541622,-0.24755981933579704,3,42593.2,1
-0.8448565592057105,-0.003240250232023436,3,41803.0,1
-1.2616513758066565,0.0739588513679067,3,38565.2,1
-0.807619624124676,0.25098102583121873,3,40117.4,1
-0.7185854404792139,0.35130178150345764,3,40228.8,2
-0.16916528028549543,0.39910157435967447,3,43082.6,2
-0.11051451926551459,0.37305518084727124,3,47259.8,2
0.5406383763962983,0.48962228675439495,3,51048.8,2
0.6098900500438106,0.35147996005824933,3,51893.6,2
0.3400045080966135,0.5802730219220341,3,52051.0,2
-0.3280004259149504,0.5680333173721547,3,49495.8,2
-1.027621463081169,0.5362728459477626,3,44216.8,1
-1.3512771463215025,0.26630497988582347,3,42302.2,1
-1.7469537266881756,-0.09751211433921259,3,39166.0,1
-1.6241658901418474,-0.26293107601383614,3,38837.6,1
-1.2393638304031385,-0.1636247420564092,3,40210.4,1
-1.1074060782209831,-0.3568272953940868,3,39883.8,1
-1.185126451809862,-0.3211184183062398,3,38717.6,1
-1.0975316619836808,-0.1460324825138911,3,38488.0,1
-1.2978581533778482,-0.1127756812851403,3,37437.0,1
-1.252014664323319,-0.20951238186171772,3,35196.2,1
-1.270432215729163,-0.10028241820098664,3,34567.6,1
-1.237971904399012,0.03291177393862936,3,34474.4,1
-1.1873179362499489,0.15380913431032855,3,34864.4,1
-1.2425066351870617,0.11722641995860535,3,35355.6,1
-1.7956763258843729,-0.057898190401957615,3,35276.0,1
-1.2172844381435033,0.06619992628582408,3,37512.6,1
-1.2257130285688869,-0.030387436753179103,3,37102.8,1
-1.7512354330713844,-0.06720858322938074,3,35293.8,1
-1.8876422981267882,0.10487154157965249,3,32324.6,1
-2.086646925628997,0.20255508060481575,3,31294.4,1
-3.1914390440643885,0.10264081765168498,3,27710.4,1
-3.5562381655605084,0.005486008671136022,3,26738.0,1
-3.7874727197382008,-0.022575444952620528,3,26896.2,1
-3.753630462265622,-0.3723317094198086,3,28509.4,1
-3.455663376301234,-0.4578270308597501,3,29107.2,1
-2.8932712579546087,-0.5937899722127304,3,31824.8,1
-2.850999330836464,-0.7195606743390213,3,31926.8,1
-2.7569458265763553,-0.8662010146641487,3,31910.6,1
-3.4219267147345422,-0.7879910130684704,3,29741.2,1
-3.182573792315814,-0.9325856419265253,3,29861.6,1
-3.554079364174109,-0.8688195131544381,3,27769.4,1
-3.1995733381516223,-0.525694740828607,3,28851.4,1
-2.811294652564765,-0.36330728677459107,3,29261.6,1
-1.8916779601827978,-0.38452933009899787,3,31678.0,1
-1.8925334324376204,-0.43050395393272184,3,30839.0,1
-1.9272005136592107,-0.4387554959755137,3,30582.8,1
-0.8017241456217519,-0.10729846614448083,4,40465.0,1
-0.06231414035114566,0.8988270828997006,4,35797.5,2
0.17427029828380008,1.1572191144053916,4,33913.333333333336,2
0.9950922294435118,1.3888835184863049,4,36988.0,2
0.9289454071138057,1.4339304281409637,4,35638.4,2
1.1635705990827119,1.8276406752611887,4,33505.6,2
0.9777535976258438,1.4376683932804952,4,33104.6,2
0.9870458681539412,1.4915214217990223,4,33139.8,2
-0.30086499125943,0.2828622502704086,4,30538.2,2
-0.33000736598583524,-0.27217207165536794,4,32069.6,2
0.04377796772744617,-0.8606489917401817,4,33636.6,0
0.265067601285325,-0.675748573218135,4,34401.8,0
0.21682709909725312,-0.9193473013471108,4,35146.6,0
0.9311867943285691,-0.07879869491377316,4,35575.0,2
0.7794801602624568,0.3658544912099213,4,35117.6,2
0.40506672306611646,0.6882620436761174,4,34420.4,2
0.1325128278286801,0.7385669253631333,4,34933.6,2
-0.1396482267067573,0.647313746646562,4,34288.4,2
-0.3720168569916125,0.7875901394743721,4,34585.0,2
0.2682121738906724,0.17100635968558708,4,39055.4,2
0.19885584901640888,0.1917881559420576,4,39880.0,2
