group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.015,0.1053,-0.032,0.002,False
0,2,0.0041,0.9493,-0.0153,0.0234,False
0,3,-0.0871,0.0,-0.1049,-0.0693,True
1,2,0.0191,0.022,0.002,0.0362,True
1,3,-0.0721,0.0,-0.0874,-0.0568,True
2,3,-0.0912,0.0,-0.1091,-0.0732,True
