group1,group2,meandiff,p-adj,lower,upper,reject
0,1,0.098,0.0,0.0892,0.1068,True
0,2,0.1126,0.0,0.1014,0.1239,True
0,3,0.0001,1.0,-0.0122,0.0124,False
1,2,0.0146,0.0012,0.0045,0.0247,True
1,3,-0.0979,0.0,-0.1092,-0.0866,True
2,3,-0.1125,0.0,-0.1258,-0.0993,True
