group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.7014,0.6461,-2.2446,0.8418,False
0,2,-1.8956,0.0639,-3.8636,0.0723,False
0,3,-0.1329,0.9986,-2.284,2.0182,False
1,2,-1.1943,0.3035,-2.9608,0.5723,False
1,3,0.5685,0.8795,-1.4001,2.537,False
2,3,1.7628,0.2046,-0.5538,4.0793,False
