Cell Number,Frame,Area_MA,Centroid_X_MA,Centroid_Y_MA,Circularity_MA,Compactness_MA,Convexity_MA,Elongation_MA,Extent_MA,Perimeter_MA,Solidity_MA,X_Centroid_Distance_MA,X_Centroid_Velocity_MA,Y_Centroid_Distance_MA,Y_Centroid_Velocity_MA
2,1,20663.0,1309.7927464550162,97.48734452886804,0.5389781502396211,0.6147915798423919,0.9676646524780659,0.5543149212398645,0.6206782613919678,694.0904037956217,0.8493854564886751,0.9495865779222186,0.9495865779222186,1.2025729955148705,1.2025729955148705
3,1,34825.0,1055.7010055994258,108.10394946159369,0.41474609416550795,0.5044924894790578,0.9769292688406838,0.7204033860793415,0.5786133218136807,1027.210244842766,0.8778674061003277,5.807393600123305,5.807393600123305,0.06427967495336873,0.06427967495336873
6,1,31475.0,789.5943307386815,1281.187276250993,0.35318928314464526,0.5589118306580029,0.9270198869816066,0.63057465146428,0.516678157523228,1058.239682094289,0.8055022392834293,9.266564626801255,9.266564626801255,1.5758289669713577,1.5758289669713577
8,1,52912.0,1187.4801368309647,1880.3809495010587,0.2552775731680016,0.44132408872819623,0.8264873087335177,0.7879593346191047,0.7569021257116699,1613.8965363437812,0.8298749980394925,17.965554543533244,17.965554543533244,0.18391856593370903,0.18391856593370903
11,1,20481.0,217.21433133147798,2495.398865289781,0.5667398872619672,0.5617347557737347,0.9979014111934333,0.6754019649055822,0.7760894278135657,673.889393668845,0.9842848904267589,-3.1196502276167735,-3.1196502276167735,1.4390329343741541,1.4390329343741541
12,1,76329.0,1031.1982224318413,3064.2600825374366,0.08366794174235,0.21380974324216276,0.7927402490031851,0.9182565782054293,0.39112789583450763,3385.8691911333112,0.5847621236497357,3.670938129786464,3.670938129786464,1.1553322657114222,1.1553322657114222
2,2,20288.0,1309.440407777802,96.64728698848364,0.5285028061036459,0.6097383317023652,0.9610582424887759,0.5612022975727181,0.6317653961918517,694.5548698896889,0.8405866296645548,0.12245461174688899,0.12245461174688899,-0.2387710426269649,-0.2387710426269649
3,2,35662.5,1054.6284688271103,107.65618842942698,0.37745217302296546,0.5041024513019181,0.9368630290587325,0.7207038026337589,0.5817230618618002,1094.210244842766,0.8617495406888822,1.831160027746023,1.831160027746023,-0.41562119469001857,-0.41562119469001857
4,2,31130.0,1260.9296357211695,683.7257141021523,0.2553335748608283,0.3452946856860417,0.952567436716052,0.8279944306517264,0.4524380495603517,1237.7716446627537,0.6659678247475612,5.4430079574399315,2.7215039787199657,0.2249023275298896,0.1124511637649448
5,2,17695.0,1123.233299802204,720.0896027126307,0.17209869912659875,0.26489305274851865,0.9655951004576102,0.917806951021556,0.6039661410335176,1136.688383542068,0.726873151495235,-13.799567051054737,-6.8997835255273685,-1.4494996464256928,-0.7247498232128464
6,2,30137.5,790.7704917582296,1280.9778770143853,0.3704759219564647,0.5930540713460153,0.9117670860816267,0.592495919639817,0.5593550075211775,1012.1655659552187,0.8050869023803919,5.809443332948774,5.809443332948774,0.5785152468781689,0.5785152468781689
7,2,24968.0,183.68273950656842,1855.263489266261,0.3782850148018441,0.49092920656450245,0.9684749141352942,0.7162763055212125,0.5730811604847594,910.7249634685274,0.8682709695367923,-0.07032411367978852,-0.03516205683989426,-0.30971538215339933,-0.15485769107669967
8,2,54275.0,1178.6526012168051,1880.6242965989063,0.23807126963557157,0.4240687273789332,0.8363093790518715,0.7990226985892107,0.7076699977670775,1696.5533905932737,0.8093486257263942,0.15524165760712094,0.15524165760712094,0.3353063808145862,0.3353063808145862
19,2,17891.0,725.0999899390755,2463.164064613493,0.6374312358506155,0.7351545034292464,0.9627167290508319,0.4361339271418473,0.716786858974359,593.8893936688451,0.933183809722512,0.5635545089362495,0.5635545089362495,-1.518188962835211,-1.518188962835211
18,2,39847.0,1114.796593971943,2455.7707410846488,0.203853579028265,0.32439438328083964,0.9399919421409232,0.8727333514247226,0.5350960828286355,1567.269119345812,0.7324816176470588,-14.475132159540408,-14.475132159540408,1.061960939290202,1.061960939290202
11,2,20143.0,215.33387811209093,2494.4341279238606,0.5860751432917346,0.5737895058785405,0.9970125940314176,0.6615587535352044,0.7868405739204754,657.525432638166,0.9835572633365495,-3.4402783331954367,-3.4402783331954367,-0.24522089873335062,-0.24522089873335062
12,2,75953.5,1029.7348676529791,3063.1265402499034,0.08219522150153852,0.2127563591376819,0.7896358014774301,0.9175070445713502,0.39044804064307315,3407.9788411783143,0.5737418147211957,0.3721142860309783,0.3721142860309783,-0.5558761546774349,-0.5558761546774349
2,3,19574.0,1309.5869502750284,97.50021270777854,0.48716931855795664,0.6058048660849478,0.9284763547460773,0.5617651898489332,0.6229875095569682,713.309355212119,0.8290654819774685,0.34562513079564877,0.34562513079564877,0.9737642043383943,0.9737642043383943
4,3,30637.5,1265.526765778979,684.3229479450885,0.2502872122169628,0.35552214197242904,0.9443252885750402,0.8192827704239731,0.4470809320540754,1240.3071785686864,0.6679730220328463,7.318634036529716,5.957882047169733,0.7096850067010791,0.6534594248186067
5,3,19562.0,1131.867969141384,722.0143958310925,0.16279730660631997,0.2602482232506641,0.9492781790753755,0.9206181931548694,0.5952096715019806,1230.6025971044414,0.7209918050074453,1.734885813652454,5.184777576416138,1.2000432952489746,1.5624182068553978
6,3,29293.0,791.2460091410466,1281.9538259456383,0.3980515880194768,0.6073756819743586,0.9184212361970211,0.579314184352563,0.5813376646207178,966.4010938788597,0.8132900759882906,3.956425931600014,3.956425931600014,1.4314255080407747,1.4314255080407747
7,3,24169.0,178.91813398092648,1858.1527501958178,0.3912919967361123,0.5091607434901684,0.9452188435301974,0.7005475460316143,0.5971466408484403,881.5031380615795,0.8656666170529075,-4.79976758248182,-4.782186554061873,2.734403238480013,2.811832084018363
8,3,53757.333333333336,1180.9746276867647,1880.7082713767504,0.24641480939781932,0.4278981274234213,0.8379241387575695,0.7974251109884669,0.7220042520674057,1659.989261208132,0.8176837773560285,5.368032779750668,5.368032779750668,0.22639666577106254,0.22639666577106254
9,3,46262.0,1139.3532436989321,2456.5455812545933,0.19282015835307112,0.3074222422700513,0.9530023085066186,0.8917503248462536,0.5433830179592891,1736.3645737753166,0.7604253990170455,-15.148354681747833,-5.049451560582611,4.033337239795856,1.3444457465986186
10,3,19704.0,737.3019062119367,2463.5165550142106,0.43413991847817945,0.5665121614934487,0.949220367077877,0.6139770549011777,0.5721254355400697,755.2091988222396,0.8540221914008321,-12.716168595074919,-4.238722865024973,3.4339175765849177,1.1446391921949726
11,3,20207.666666666668,213.89142020834254,2495.0693802621677,0.596408085775019,0.5810470102533892,0.9971502048666073,0.6537458131674587,0.7878736473252448,652.8657043982231,0.9838903573289365,-3.1091590527496655,-3.1091590527496655,0.7933508611249636,0.7933508611249636
12,3,76188.33333333333,1027.818616404829,3063.4680978065094,0.08131229312013591,0.2127262769773954,0.7869090831873261,0.9174492913230766,0.38636081871908684,3431.9700448702083,0.5665623902226152,-1.1803901311753104,-1.1803901311753104,0.34882088266552574,0.34882088266552574
20,4,16514.0,564.1337071575633,65.64713576359453,0.142154656036728,0.22165893772201928,0.964380547719297,0.9380619102476394,0.5325722394220846,1208.2325394193524,0.6895198329853862,8.733335974416946,4.366667987208473,2.71385844213237,1.356929221066185
3,4,35644.333333333336,1048.631187710547,109.03486103488048,0.3591855616619852,0.498704541472254,0.9353262390692391,0.7221103888624457,0.5651813837397058,1122.0190471331637,0.8438104585087031,-4.418995507293857,-1.5991110777315878,1.250845486382384,0.4868823449611857
2,4,19863.75,1309.0422915178276,98.77888354568945,0.4485119958530395,0.6105039895994682,0.8902050649890606,0.5479399507871654,0.6224463454267991,756.2680733252853,0.8193013977199555,-0.358711157717039,-0.358711157717039,1.5825311315172534,1.5825311315172534
23,4,15958.0,528.9196641183106,150.58957513472868,0.16333681686180468,0.25542168492842815,0.9660457601373903,0.9306105119353344,0.6775645380434783,1108.031529292576,0.8332289055973267,-4.68258205437769,-4.68258205437769,-0.22193251989472174,-0.22193251989472174
4,4,30418.333333333332,1267.3544958428686,684.6742272491383,0.24965266052353216,0.36054584959261077,0.9410658093158498,0.8149240792378615,0.4454026126896728,1237.3949972244498,0.6706492525819402,5.17444273563918,4.267274742732525,0.6253246942052707,0.5878409729502891
5,4,20967.666666666668,1139.7085237173687,722.7291088346174,0.15744711506489636,0.2561416952407113,0.9469738402095107,0.921462477634977,0.5604620819118565,1296.0613152176077,0.6942629424062426,6.118922005359916,8.418849847202372,0.8731441608702349,1.1147274352745171
6,4,28088.75,793.8966718337225,1282.8034659619252,0.41154873287900895,0.6294543946890299,0.9160420522290559,0.5529412791738332,0.5920842606071566,931.0188578406803,0.8140566771299679,5.380223449967531,5.380223449967531,1.4352346816911563,1.4352346816911563
7,4,23139.333333333332,179.2048742668542,1859.0390162595775,0.4253200106740067,0.5357545397789186,0.9468169699376902,0.6752962459549542,0.6139044763723427,831.91616117813,0.8878605326021684,-1.3249029271795127,-1.3131822415662147,1.7461145795607536,1.7977338099196534
8,4,52903.5,1181.2233181092395,1880.367925156654,0.2565573257074215,0.43081831636747614,0.8381274883067256,0.7946887277158858,0.734095158200337,1616.1686142824235,0.824089354056957,3.1137017723080476,3.1137017723080476,-0.21253610969000647,-0.21253610969000647
9,4,46979.5,1135.0469872812541,2456.49000386922,0.18908537885304705,0.3049364278614657,0.9531596791165775,0.8923587798967729,0.5322169623333697,1767.3143212436225,0.7512627516299424,-11.880433758551817,-6.830982197969206,1.9610912345244742,0.6166454879258557
