PCA1,PCA2,Cell Number,Area_MA,Cluster
-3.3649764818300154,-0.5601654107562758,2,20663.0,1
-3.2747896160340217,-0.5711891549374897,2,20288.0,1
-2.7916622184123234,-1.3752032551994564,2,20436.33333333333,1
-2.8689286656407402,-1.131163796025748,2,19705.75,1
-2.846984559272029,-1.1384552042234315,2,19598.2,1
-2.6595606298058967,-1.2863253086430944,2,19421.6,1
-2.5794483731748925,-1.414769244723141,2,19546.8,1
-2.2231890110096875,-1.1843298740672141,2,20421.8,1
-1.6943122438042164,-1.4450344922468688,2,21857.4,1
-1.6042194423388005,-1.3610318422851284,2,22310.4,1
-1.5009404583924737,-1.6804110582392222,2,22947.2,1
-1.5155320887646508,-1.7562872512309502,2,22901.2,1
-2.2359866273546736,-1.3685885462178256,2,21601.8,1
-2.7293265611471966,-1.648612536072337,2,20773.6,1
-2.907297300792023,-2.0354545853624817,2,20311.0,1
-2.8849108482311485,-2.008002171883639,2,20161.4,1
-2.5567500273219923,-2.253113378285377,2,20282.2,1
-2.306768251786385,-3.1574386492091797,2,20865.4,1
-2.284042358717192,-2.7000413807699064,2,20691.2,1
-2.0364424869262194,-2.839132789102129,2,21067.8,1
-2.007402269590259,-3.140473236749708,2,20724.8,1
-2.330709975452902,-3.0937114197440803,2,20190.8,1
-2.306793209379579,-2.529452558224236,2,19710.4,1
-2.164320248626766,-2.6480377241326694,2,19397.0,1
-2.3904850795615946,-1.9035743907789606,2,18771.6,1
-2.7148952204714165,-0.9639755887611919,2,18271.6,1
-2.4585773540658917,-0.2787621258095583,2,18958.6,1
-2.3350217988457787,0.10887615946282352,2,19197.4,1
-2.4893231276132215,0.42935572828877866,2,19214.4,1
-2.47158026801568,0.41112825136034176,2,19219.8,1
-2.4161147971545085,0.3944041302561684,2,19229.2,1
-2.763973089424559,0.3039665666896615,2,18360.4,1
-3.0782037057354437,0.3078846780713471,2,17789.0,1
-3.1290272725274493,0.296539182403832,2,17584.6,1
-3.1085944616187677,0.25602643720745694,2,17307.8,1
-2.37309385766987,0.27446551367772404,2,18844.8,1
-1.6222736051115747,0.30530382588154276,2,20592.6,1
-1.4599166646270365,0.27363875760733297,2,20536.6,1
-0.6382925793725993,0.25655304886260055,2,22457.2,1
0.08691338309523186,0.2634329003067777,2,23991.2,0
-0.35124456827806544,0.2609910937327743,2,22234.2,1
-0.74644531675933,0.24019049455156888,2,20409.2,1
1.700394230089777,-0.03981684151825302,3,48207.0,3
0.5260595017480498,-0.07797830207178238,3,41907.5,3
-0.3570754523851449,0.09793073354571886,3,39828.333333333336,1
0.28247659759537985,0.14889783324400646,3,42790.25,0
-0.18461122371290517,0.22659515124975302,3,41632.4,0
-1.2723897271073796,0.28445757537343414,3,38676.0,1
-0.8433907439294388,0.37670400988430275,3,42149.2,1
-0.07572579714176556,0.33681558476632867,3,45546.2,0
-0.19523394350547316,0.408223424420026,3,45860.4,0
0.6806852318870716,0.26448834905940766,3,48635.8,0
1.0009509479657999,0.15886450944489877,3,47663.6,3
0.40179859180674604,0.13204765883147607,3,43954.6,0
-0.1259824805571545,0.2746785550026655,3,41054.2,0
-0.985235311007002,0.2425222031263242,3,37123.2,1
-1.6326840214531206,0.45770822317904364,3,34679.8,1
-1.5733015272579707,0.6623007140399969,3,36040.6,1
-1.6083188171510685,0.8110025821080844,3,36404.0,1
-1.7019784624675078,0.7247125267219341,3,36269.0,1
-1.516982569700505,0.7943331990626766,3,37818.0,1
-1.8392844059022053,0.7685296608066255,3,37637.2,1
-1.3032526701660434,0.7158942505749597,3,40287.4,1
-0.8037226614802782,0.692053602669877,3,43908.6,1
-0.16927021340922827,0.5411536871226352,3,48151.4,0
-0.15219932160532745,0.5486130282795215,3,48893.2,0
0.015516876721643372,0.4561590882460768,3,49335.8,0
-0.4634925579930044,0.44976221288305535,3,48007.0,1
-1.0148720844413346,0.447250996721738,3,45244.2,1
-1.7163892183021823,0.5953523612343281,3,41082.0,1
-1.706678289441371,0.5867034866416181,3,39335.0,1
-1.6728796889286919,0.7081014412167,3,39945.0,1
-1.3480940969968753,0.43447013999739337,3,39630.2,1
-0.952615677766855,0.2043524600643634,3,39360.6,1
-0.7587586754343223,0.14416748531125356,3,41062.4,1
-0.604564488378084,0.0771399918500293,3,42925.4,1
-0.6695325629442566,-0.00844001258868466,3,41914.6,1
-0.3904874923177274,0.02767390904047652,3,43701.6,1
-0.8153598340668409,0.09178008909328692,3,42593.2,1
-0.4453269743103849,0.056027777464511486,3,41803.0,1
-0.8454901489660068,-0.0444585967637459,3,38565.2,1
-0.4136500489325772,-0.018844009065032925,3,40117.4,1
-0.3281234089130878,-0.0656136545077501,3,40228.8,1
0.1998478234810475,-0.08029023013687647,3,43082.6,3
0.2604806033196051,0.054622703422125204,3,47259.8,0
0.8814902815156457,0.20945266228499285,3,51048.8,0
