Cell Number,Frame,Area,Perimeter,Solidity,Extent,Circularity,Convexity,Elongation,Compactness,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity
2,1,20663.0,694.0904037956216,0.8493854564886751,0.6206782613919678,0.5389781502396213,0.967664652478066,0.5543149212398645,0.6147915798423919,1318.52,96.56,1.3599999999999,1.3599999999999994,1.3599999999999,1.3599999999999994
2,2,19913.0,695.0193359837562,0.8317878028404344,0.6428525309917356,0.5180274619676705,0.954451832499486,0.5680896739055717,0.6046850835623386,1315.8000000000002,94.52,-2.7199999999998,-2.039999999999992,-2.7199999999998,-2.039999999999992
2,4,20733.0,885.144227664784,0.7900091449474166,0.6208228530362918,0.3325400277382883,0.7753911957180105,0.5064642336018621,0.6246013601430295,1313.0800000000002,100.64,-2.7200000000000277,2.719999999999999,-2.7200000000000277,2.719999999999999
2,5,17514.0,668.7766952966368,0.863950276243094,0.6479946721918011,0.4920768654137915,0.943117585523194,0.6123240028293462,0.5968045465412437,1308.3200000000002,95.88,-4.759999999999991,-4.759999999999991,-4.759999999999991,-4.759999999999991
2,6,19168.0,725.303607231218,0.8347704903754029,0.6143589743589744,0.4578750614408314,0.9073309351530252,0.5628460370491106,0.6046029339143222,1313.0800000000002,97.92,4.759999999999991,2.039999999999992,4.759999999999991,2.039999999999992
2,7,19780.0,758.8599564173221,0.8062280916279448,0.6018011439698187,0.4316312482372051,0.8985159307922694,0.5658585865854011,0.5958120279897935,1313.76,97.24,0.6799999999998363,-0.6799999999999926,0.6799999999998363,-0.6799999999999926
2,8,20539.0,744.9604614807105,0.8158814650035752,0.6089599146110057,0.4650746975090728,0.917830261391132,0.5405156424882293,0.6111366804055857,1315.12,97.92,1.360000000000127,0.6799999999999926,1.360000000000127,0.6799999999999926
2,9,25108.0,1084.156420973604,0.7154703217165816,0.537448894406747,0.2684343513671797,0.8040788562455178,0.6732491227903434,0.4832810719957207,1300.16,99.96,-14.960000000000036,2.0400000000000063,-14.960000000000036,2.0400000000000063
2,10,24692.0,1023.5290039756344,0.7145502951730525,0.5322813598051263,0.2961868851965368,0.8366475569024912,0.6410796880289029,0.5082294680588616,1304.92,97.92,4.759999999999991,-2.0400000000000063,4.759999999999991,-2.0400000000000063
2,11,21433.0,773.445742854949,0.7825975827947567,0.5628413865546219,0.4502286433906173,0.948099605618841,0.5871541542231089,0.5785030456731931,1311.72,95.2,6.7999999999999545,-2.719999999999999,6.7999999999999545,-2.719999999999999
2,13,22964.0,911.9726547895302,0.7965590204308162,0.6040614478114478,0.3469714727791166,0.7933858990413047,0.4954278943702275,0.6308328795724543,1315.12,96.56,-3.399999999999864,1.3599999999999994,-3.399999999999864,1.3599999999999994
2,14,20309.0,744.0315292925759,0.8133360032038446,0.5917540792540793,0.46101570905227,0.9076276705779208,0.5061238655086568,0.6345108317227764,1319.2,94.52,4.079999999999927,-2.039999999999992,4.079999999999927,-2.039999999999992
2,15,18611.0,655.8772003600252,0.897607793961609,0.6517369379464911,0.5436689180204144,0.9925298561614356,0.5959199211522138,0.6023783204990042,1315.12,91.12,-4.079999999999927,-3.4000000000000057,-4.079999999999927,-3.4000000000000057
2,16,20551.0,800.9604614807104,0.826769119362755,0.6248403770142901,0.4025507748856964,0.8166845452512957,0.4120098056226555,0.695790753417236,1321.92,95.88,6.7999999999999545,4.760000000000005,6.7999999999999545,4.760000000000005
2,17,19120.0,738.5168106668145,0.8376412862525191,0.6077558804831532,0.4405315132804057,0.8523106451972742,0.4226222316711453,0.6952861581958036,1323.96,93.84,2.039999999999964,-2.0400000000000063,2.039999999999964,-2.0400000000000063
2,18,22216.0,898.6234123846127,0.7787982892799551,0.5803552769070011,0.3457166309339339,0.8080493129341166,0.5014056649956107,0.6216764033246122,1317.84,95.88,-6.119999999999891,2.0400000000000063,-6.119999999999891,2.0400000000000063
2,19,20913.0,922.5584412271572,0.7584868707384302,0.5658279220779221,0.30877236743206,0.7787855437454598,0.550404071113154,0.5914098491497984,1315.12,95.2,-2.7200000000000277,-0.6800000000000068,-2.7200000000000277,-0.6800000000000068
2,20,21527.0,900.1147904132612,0.7918705168291337,0.6144953185658826,0.3338855154005231,0.7339718761914993,0.3551717569322651,0.7177381133401722,1318.52,95.88,3.399999999999864,0.6800000000000068,3.399999999999864,0.6800000000000068
2,21,19680.0,716.9188309203678,0.7991878172588832,0.5750350631136045,0.4811660559672432,0.958492703094527,0.5525677476720094,0.6077426034580238,1319.2,92.48,0.6800000000000637,-3.4000000000000057,0.6800000000000637,-3.4000000000000057
2,23,21003.0,883.3868683519033,0.7841621863799283,0.5985465944713594,0.338212237926873,0.7715150281697171,0.4587139244183295,0.6490320556757114,1317.84,95.88,1.360000000000127,3.4000000000000057,1.360000000000127,3.4000000000000057
2,24,20501.0,935.428498912246,0.767052044748756,0.5805510718432305,0.2944175643378297,0.7170611635127861,0.4225390664306829,0.6698857673463654,1318.52,94.52,0.6799999999998363,-1.3599999999999994,0.6799999999998363,-1.3599999999999994
2,25,18243.0,737.6467529817257,0.8169360978012629,0.5865162037037037,0.4213172609006684,0.8483584894626117,0.4537347002654897,0.6731858528308501,1323.2800000000002,92.48,4.760000000000218,-2.0400000000000063,4.760000000000218,-2.0400000000000063
2,26,19125.0,756.3746750430835,0.7914666445952657,0.5604888341832249,0.4200851689817513,0.8912673207772772,0.5498308179695715,0.6044581274496107,1317.16,95.2,-6.120000000000118,2.719999999999999,-6.120000000000118,2.719999999999999
