group1,group2,meandiff,p-adj,lower,upper,reject
0,1,6514.2632,0.0,4914.9357,8113.5907,True
0,2,13743.7703,0.0,11995.9335,15491.6071,True
0,3,120.8477,0.9978,-1566.9898,1808.6852,False
1,2,7229.5071,0.0,6139.3716,8319.6426,True
1,3,-6393.4155,0.0,-7384.5046,-5402.3264,True
2,3,-13622.9226,0.0,-14839.2049,-12406.6403,True
