PCA1,PCA2,Cell Number,X_Centroid_Velocity_MA,Cluster
-3.4316498776200834,0.362131952934596,2,0.9495865779222186,0
-3.348450818473511,0.4050064002593388,2,0.1224546117468889,0
-3.0204380042007344,0.7455992549469946,2,0.3456251307956487,0
-2.7553972316837614,1.2631149117592984,2,-0.358711157717039,0
-2.8397726299393913,1.0777092878477859,2,-0.5111410538702785,0
-2.721648586100667,1.1971232216207024,2,-0.4363105597844878,0
-2.5710379293079493,1.3124929794492382,2,-0.1720680162752614,0
-2.671314411916981,1.2195718081710276,2,-0.433082081891689,0
-2.3103453228656075,0.9497844717566277,2,-4.036376765988825,0
-1.7857463831318205,1.1329171713871264,2,-2.7239694571065685,4
-1.6911020573055966,1.001876219639873,2,-0.5463100231517274,4
-1.576474403692148,1.0617659954152467,2,0.2535390419333453,4
-1.410733920623612,1.4062993233008338,2,0.1349510077899594,4
-1.9666039707369323,1.3633602252633563,2,4.875007970522802,4
-2.5973717641846195,1.0839610953031256,2,3.506062437551509,0
-2.732136296355718,1.5984851343711268,2,2.095420812637576,0
-3.0032926995192097,1.8081929072270828,2,1.641245698157445,0
-2.9783020551207127,1.75602085029597,2,0.3216245603568041,0
-2.6577087942955306,1.999010200049088,2,-0.7469349079176937,0
-2.4248303995339056,2.855749126069098,2,0.8352817086351024,0
-2.3895179461201503,2.355526654954862,2,-0.6386039922492728,0
-2.4612165717810854,1.8423888947421523,2,-1.4134971125657558,0
-2.4966451301910837,1.9756252107477905,2,0.2732197379042645,0
-2.5891394708720874,2.2623846488353667,2,1.2245931442610072,0
-2.66485410862223,1.8751273909130033,2,0.6116745417587026,0
-2.5612829427681336,2.027294440816079,2,-0.4010157506775158,0
-2.263360573737389,2.251590644554027,2,-0.0806473771521268,0
-1.944771075835791,1.650150675989448,2,-4.047348020710752,4
-2.214569504242122,0.7731994554343092,2,-1.5376768132372036,0
-2.297295618220826,0.2406706750464102,2,-2.152624036615907,0
-2.150371228292298,-0.18896958463903354,2,-4.315418678967944,4
-2.0134838099508445,-0.5360254005763656,2,-3.0532319042493783,4
-2.2544369238130915,-0.7064396592502075,2,1.985297165363045,0
-2.2078442651442525,-0.7067860698718157,2,0.805364503354349,4
-2.1502667915927205,-0.7093005893748506,2,0.8452324068226517,4
-2.4371500320295802,-0.6127279291547171,2,4.260644131686604,0
-2.718131657862013,-0.5454254664949573,2,2.8790191135556142,0
-3.0474022695883396,-0.47561533390607874,2,2.2050102819189306,0
-3.1222317209033688,-0.46968689388059903,2,0.5112935043326615,0
-3.1471232240116507,-0.4448003727848231,2,0.8298705738196077,0
-3.087571748332555,-0.4133566550035017,2,0.6508931029348787,0
-3.075260581313104,-0.38474126606272674,2,0.7947207816531318,0
-2.359415298213774,-0.48568435424016354,2,-11.084726174619709,0
-2.2920271148243425,-0.4661351640615439,2,0.5618911837611904,0
-1.5382866884593818,-0.5800417492039667,2,-11.644879975440515,4
-0.9151938329280147,-0.6659816082289226,2,-11.577403505448364,4
-0.8853235295852602,-0.7135010076752809,2,0.1155901078309398,4
-1.424099037680629,-0.6408644600301601,2,11.550484719323686,4
-0.6558386216151446,-0.669277694080325,2,-12.309107253784711,4
-0.6465876518278394,-0.5961110646707618,2,1.4720952004126957,4
-1.0314446664462404,-0.6150924933121752,2,10.400013987216472,4
-0.8084012807431457,-0.6814142279118727,2,-0.243825337806038,4
-0.730121481369806,-0.6909981713617216,2,1.3138428448786723,4
-1.7487029815855462,-0.5151016207660964,3,5.807393600123305,4
0.23719754079018018,-1.5246866727815154,3,5.807393600123305,2
-0.18347686981649639,-0.8581442291158701,3,183.80818456658935,2
0.4226178506710378,-1.2894121720451328,3,183.80818456658935,2
0.656077422847193,-1.034473598472675,3,231.07109846002436,2
0.8614751994478941,-0.9477957905442058,3,242.75713369079224,2
-0.022036599634576593,-0.5127463493306663,3,179.8497440809649,2
0.6050121771097687,-0.720681509022084,3,78.00485333616555,2
0.5978723491185178,-0.2934728631562436,3,61.49040569295319,2
-0.14516919660074273,-0.3817743421854874,3,9.550317667247077,4
-0.7671698018460218,-0.3349321562651646,3,-1.2221793662396068,4
-0.04956825450987358,-0.3371128722769033,3,-14.875957146573592,4
-0.14859330354879124,-0.29038661809442146,3,-4.498320871346801,4
-0.28639212184462004,-0.357901233435066,3,-2.4106349043791395,4
0.5818255830495992,-0.2692817711621277,3,-17.731473365348894,2
1.6625368833312153,-0.3983493850834849,3,-15.578213835721726,2
0.947727909765589,-0.3241871851867211,3,9.29060558782544,2
0.30816762273323556,-0.275166034514029,3,11.674742192255303,2
-0.19140554712691965,-0.3176471375630694,3,14.970832360649798,4
-0.42607927249230443,-0.6795666296239428,3,21.39046699743352,4
-1.2952814829941675,-0.6262828785294388,3,78.59812239125125,4
-1.08410642153187,-0.8113488988388934,3,69.06131920273285,4
-0.963499746676918,-0.9684601813956872,3,67.36661600951135,4
-1.1495026368339418,-0.8934687396030923,3,54.13706077025634,4
-1.3983060042090207,-0.46417551323641215,3,-1.2957534177823162,4
-1.1932407320354297,-0.5769300501516154,3,-58.26967510932798,4
-1.2632847514577172,-0.46527901786201586,3,-62.40514592481574,4
-1.4418809862309883,-0.38203873139168176,3,-65.43924199123788,4
-1.3482211188791582,-0.3111527410783111,3,-56.81026159479404,4
-1.8326029055208408,-0.4474827855319293,3,0.3947840257266364,4
-1.982868977315506,-0.3470472228005517,3,0.9339587827887272,4
-1.5408371376177878,-0.35391577861900564,3,-6.693504668040623,4
-1.0238288884155105,-0.3879150856291422,3,-7.250661839403006,4
-0.41418627554778076,-0.21553473516586358,3,-14.157441953858642,4
-0.2507995691857027,-0.2065648702367171,3,-4.178891824122229,4
-0.11304965924965434,-0.11344297503256798,3,-0.3407744769463761,4
-0.5962208080154435,-0.027561069632815544,3,8.651576781658287,4
-1.1488146023664285,0.030632844984384806,3,10.313767861575936,4
-1.8376949224374886,-0.12349521754499997,3,18.36483738307327,4
-1.8232115980507722,-0.16743791911562472,3,9.624195606516082,4
-1.7889790740410059,-0.273456591152426,3,2.232660026074882,4
-1.4679211372919374,-0.04452810328656415,3,2.661762012822055,4
-1.075274917925831,0.11762460247330796,3,0.3334654478080893,4
-0.8876037273654171,0.2156939001184449,3,-1.1627279069427003,4
-0.737943319527616,0.30963850782928637,3,-4.538359161037329,4
-0.5941108544978844,0.29540668100238665,3,-3.066044291005801,4
-0.9667660011657023,0.022525085249996545,3,-14.562142106804751,4
-0.6879638642867629,0.1274819500326339,3,-6.600960659210864,4
-0.9430414419811505,0.09990487267721043,3,-10.922788507400265,4
-0.543372117734604,0.05985069019778414,3,-20.407221275766734,4
-0.9458682615803435,0.14864795247983795,3,-6.722722767702839,4
-1.151801372361089,0.19280764765431915,3,4.820746159261307,4
-1.3635723699427773,-0.14843400902981255,3,-15.237785690205785,4
-0.5760937742624891,-0.0032740478275978904,3,-13.541187043168224,4
-0.68726799658073,0.0713677582585631,3,0.4673984209550326,4
0.1514084587455436,-0.011319783663603448,3,-7.71830003978464,4
0.7751062733018287,-0.15455585891046775,3,-16.000913372082458,2
0.8412111481443268,-0.04799293698260528,3,-6.636797274973924,2
0.5754667762901432,-0.3102415514864541,3,-3.854423316182374,2
-0.06650541956462251,-0.3609580901585778,3,4.1247650382704935,4
-0.7346301865346009,-0.3502730861940444,3,1.810755372853032,4
-1.041828307158548,-0.1133995149465714,3,9.967377988171256,4
-1.4177381071754314,0.21798231305196228,3,11.012599591500452,4
-3.4118197923931732,1.5394919015452284,4,53.98252880454265,0
-1.2375336504523555,0.1475819648366732,4,2.7215039787199657,4
-0.5202107397879783,-0.22075564453251803,4,4.879089357686477,4
-0.1350974511189099,-0.590622542692007,4,-98.33138712548389,2
0.06158686175509495,-0.6552785902007638,4,-98.33138712548389,2
1.4693648411108648,-1.193834144010238,4,-141.09787000022996,2
1.468660583098287,-1.119061782730255,4,-100.465832472585,2
1.4155466371260887,-1.150269986119884,4,-101.24352970229748,2
1.2228411777893313,-0.6904817811775894,4,4.285570749827514,2
0.5895481980109036,-0.4832247614337699,4,8.673063261751668,2
-0.6544692747047066,0.49115180943138204,4,29.422874141771352,4
-1.3852314815288018,1.554878021020787,4,8.75032078953809,4
-1.019639526988412,2.124620515643322,4,-2.2212288873690342,4
-0.8068892380639326,1.967253952434986,4,-3.1365588073142137,4
-0.19935451074182417,1.9007538302300542,4,-9.25019841240919,3
0.4899934003220149,1.203779024699494,4,-6.027632315826395,3
1.043095623367444,0.19552754367941377,4,-8.751736853778993,3
0.6750535924607606,-0.16377458295831768,4,1.620364552962974,2
0.40909436719012654,-0.24068500596473727,4,0.8373518275807783,2
0.14687958270053195,-0.17010630943629093,4,4.756870294176951,2
-0.20024809960963896,-0.21480926420422133,4,4.043580361113072,4
-0.26565816911285833,-0.20531996726632915,4,0.6894728795008177,4
0.23544054145865512,0.2658721276908603,4,-13.91477407652601,4
0.33637491391087204,0.34221536159946103,4,-1.5795852868626752,3
0.4377133605719128,0.22805931199685603,4,-3.9139125978284026,3
0.7730019598027644,0.31457421455004947,4,-2.7706435835472347,3
-3.3282612639533444,-0.12060462710717541,5,11.229442711958654,0
-1.3373871043367949,-1.1098878066081184,5,-6.8997835255273685,4
-0.5098423028595785,-1.298572335922913,5,1.1565905424349694,2
0.08097186740617057,-1.4324706754917933,5,4.5891915040199365,2
0.3332493146775049,-1.5622301855361864,5,-1.4071923019072528,2
1.3407741370750366,-1.9655045272927412,5,-7.712578674691395,2
1.2375779604657102,-1.9862246831683963,5,8.400413400303615,2
0.9768114028551327,-2.112955198599142,5,6.125090648325704,2
0.3478043800456622,-2.055098055979794,5,-3.018976264127332,2
0.07589354327539727,-1.3515634333793005,5,-16.13537048197268,2
-0.5013339962164423,-1.2909943297287791,5,7.059825145609056,2
-0.46188395404362215,-1.1213219874631426,5,-9.6924446126764,2
-0.3883095869302992,-1.049965058278587,5,-1.8584747625003275,2
-0.14453473417615628,-1.167853095803312,5,6.113388811812229,2
