Cell Number,Frame,Area,Perimeter,Extent,Solidity,Compactness,Elongation,Circularity,Convexity,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity
2,36.29824561403509,18908.385964912282,759.3792863276915,0.8002639886757491,0.5821809006592065,0.4212362479950584,0.91799704198379,0.6010280982727096,0.564193621787407,1308.2151863881759,98.96620998882061,-0.30470593019916986,0.30949110350729975,0.3219455922429565,0.1210229650071789
3,41.09375,37626.65625,1135.8586237364188,0.8543440337070722,0.6107368684531085,0.37515839218557473,0.9399647853166789,0.7380546151058308,0.4822897077647074,1009.4489111254443,105.47566082054222,-3.1883337860889576,-0.10418440577119004,-1.5024116958632232,-0.02894556974108975
4,53.27536231884058,34651.289855072464,1252.183835964715,0.7880582005187626,0.5859098101321014,0.2892655984179545,0.8377636925930552,0.7016015546754922,0.48536837230781804,1280.6226229136305,695.2155774377258,0.12370576162562179,0.2658801424698773,0.22511139032512822,0.31387008609558326
5,27.454545454545453,29511.363636363636,1545.9232811661886,0.7359325704928602,0.5551932957658093,0.16534087629553154,0.9076038834268171,0.8971157525591658,0.2836852564400015,1163.4744459364304,719.9431661587638,3.7991011548507974,-1.1406409141688258,3.7954812904295383,-0.015188651864154119
6,23.767441860465116,28094.46511627907,1015.4491505285899,0.8188759054232705,0.5441398015933198,0.3564480011134971,0.9360605606824219,0.6518372637041534,0.5354905987639585,781.5721208181349,1279.5002606425164,-0.49630553008257244,0.08261271861518908,0.13738866503804306,0.13338610224746358
7,8.5,19304.214285714286,697.1078228082213,0.9286249058073389,0.7272783872963929,0.5107120284828993,0.9395436532025441,0.6406092548758276,0.5816856632510102,162.22398519699559,1859.0619163650695,-2.5629748556225644,0.07470653811599602,-2.560463280134001,0.08576780176433171
8,61.473684210526315,72325.23684210527,2293.406557461925,0.7349452590936256,0.6474420649717627,0.18386858082404414,0.7979611156973692,0.8410239941211459,0.35857574373906775,1130.3032501853356,1879.4453085578043,-1.4161599152366402,0.04282437615865164,-0.9124413063454407,0.10189194588945637
9,39.2,50921.444444444445,1919.5626770383892,0.7448837381194013,0.5622904034962364,0.17521435966575322,0.950343151264873,0.9091296870008997,0.28114825961266426,1113.1730953883275,2459.307402623569,-1.520801963165099,0.2628947172819911,-1.4886175170559395,0.11084531649650786
10,46.753846153846155,26474.723076923077,1015.4325325573475,0.8139244767088316,0.5399282340851322,0.34223852272457983,0.9102248847279091,0.6785709342063574,0.518460735888225,684.0425667630585,2466.1001396251063,-1.8242910954153226,0.18754294827091983,-1.3909048355933564,0.06040370742466339
11,25.0,18862.591836734693,669.5173260376189,0.9561465722697625,0.7268388988663402,0.5393043671015821,0.9891233618533463,0.6622469625864874,0.5686585813907991,171.43731593049574,2496.8245134123517,-1.7042132539687802,0.1284378711851304,-1.7042132539687802,0.1284378711851304
12,33.898305084745765,80820.79661016949,3315.0607311146523,0.5255653972759535,0.4146113055561158,0.09347841330920106,0.8203399937922228,0.914184196077052,0.21253500073302345,1005.8176343689336,3057.7270191176153,-0.7843150025131517,-0.1851930382416852,-0.6847460214798671,-0.12067613380772645
15,46.875,33391.25,1125.99688822101,0.8388837741808913,0.6448529858849454,0.34852698133840865,0.8345650259996464,0.646189535208783,0.5481284636990017,1292.2806533295065,695.7573803890866,-4.430100790833137,0.08753141747007476,0.7438506930114767,-0.10233427642175527
16,36.857142857142854,14119.0,767.719835919466,0.798450865483988,0.6276579177296842,0.343558177825782,0.9649398969865167,0.8030883058098942,0.40690131080084585,1140.2941632434365,685.1460318458952,-1.8689352015050775,-0.49350266747853766,0.36751281225919386,-0.5067465434072468
18,17.6,40183.8,1542.9531813891685,0.7397703697628836,0.5710823862015433,0.21215612209731843,0.9507543692448163,0.8800382505774828,0.3197844401186741,1094.8102342366647,2459.562228327052,-8.88003211623909,0.9884977548696952,-6.2837076399039615,0.0073312300412373245
19,28.25,28606.083333333332,1102.3208238284603,0.8330228174666723,0.5460060134911728,0.3126230605676329,0.8881209741508632,0.6972752896086325,0.5002779807471671,705.6422404864815,2463.7880520863728,-1.8732119082631964,-0.059602332474848176,-0.2781170293888404,-0.06593762790060513
22,25.0,45157.27272727273,1545.8267998307676,0.8012785741195326,0.5289505537791465,0.28478791618433025,0.9343980149918523,0.7834835023516059,0.4248964279661573,968.014081029284,112.25785266345261,-1.3752452513179336,-0.35123971080545213,-0.6845493600231015,0.041820541860321074
25,47.578947368421055,18956.21052631579,1264.008710895411,0.7464627317686187,0.5294263505806142,0.15037118853761208,0.973816967459997,0.926342371504929,0.24995594684249448,1071.2355126681996,728.123878498856,-5.034316924060057,0.28289031481471594,-0.5021459150633705,0.07124711370012109
26,31.405405405405407,64531.05405405405,2105.4023628323152,0.7478193476311611,0.5857120114983626,0.18920405937587992,0.8332641476147667,0.8293366513381006,0.37574002635962234,1138.5258078655872,1883.0853367122807,-0.5820360268285615,-0.09356817264843148,-0.17139730045133744,-0.0671139268314442
31,78.16666666666667,20128.416666666668,950.305741573461,0.6541764361263253,0.4655486343964961,0.2875608361386097,0.9293229993662299,0.7749188165962618,0.3902425452422101,1279.2087399269146,102.82954441985633,-0.2916470624679164,1.2563788633416628,-0.5034602280567998,0.3817184879915925
34,28.90909090909091,35998.545454545456,1285.1516229873641,0.7341560736643625,0.5158035356815914,0.2764547363003768,0.907993820343825,0.7585395012510623,0.42020880688608453,1271.8888623297585,692.3360005605861,-0.18088087522505703,0.7444723184939387,0.33182498057063836,0.40099354693746175
35,42.125,48669.6875,1767.2436886321439,0.7625730023079478,0.6023200816154195,0.19632348978078173,0.9520072038863169,0.902432223281132,0.2941697521254736,1132.1054768463644,2460.0365899156977,-1.020828846105772,0.1756158773770835,-0.5276045258817343,0.07277359384938326
36,25.88888888888889,38604.444444444445,1079.295169567107,0.8955167815061331,0.6428993793231288,0.4187718404400883,0.9700582315650222,0.7310420894972268,0.5069205306313611,1012.3355690687791,108.38983391967089,1.8004616843267185,-1.0348161219374532,1.0605318301111362,-0.5844394652081882
39,54.625,18542.375,937.8678611740597,0.7148768529178291,0.4156559662991963,0.2668600784203729,0.8581467430266405,0.7114981031210158,0.4646906281766515,760.3843124097577,115.76964583652351,-5.22899763003106,-1.0987163830406477,-2.569873805271729,-1.0869546472964455
45,79.02941176470588,72262.4705882353,2703.407061391482,0.5871665659557055,0.4166946464108345,0.1244215511257187,0.8977848296944062,0.9107723379763524,0.23355827511110577,916.35372018792,3054.4023040435645,-1.5602058176458713,-0.21181050952326158,-1.017051297560386,-0.049440392804707606
46,86.5,17930.75,774.0617286259001,0.7942564421160561,0.5502406700490424,0.4090036467894352,0.8984026287873471,0.5779810747059086,0.5839105175878959,1325.003144510163,3056.3786659869434,2.5112903132813926,-1.7942537603426558,0.6052865251117993,-0.32492061835398156
51,34.0,19825.625,1320.5817818242701,0.7556663495488493,0.46428898363581095,0.14312033008630098,0.9798081200752355,0.9291088881182866,0.24296187177554485,1063.8635027466423,727.1253302569085,-2.324599275937288,0.15631676592850852,0.5927991488353338,-0.14268072122671951
53,78.28571428571429,25525.5,1247.4754427113166,0.6478282010861289,0.4945749484170256,0.20847775556741419,0.8796034041320516,0.8514328158734392,0.3241342978443321,1228.9586782227411,1268.1944433973072,-1.5999184573513503,0.8041233541996624,-0.4885412205523518,0.08232982200645038
54,89.0,57495.375,2179.1883200902835,0.6542343842251555,0.48879028572157823,0.1540274104699626,0.8587369260884017,0.869718776369607,0.29741281046066187,1075.0462814548414,1871.1498781362452,-3.2093259661629077,-1.737876698730446,-2.02830784981964,0.15961781520770496
57,83.53846153846153,32590.30769230769,1024.7672101232326,0.876779142418877,0.6440715376714412,0.41660139274179436,0.9211595431905493,0.6627932948143372,0.5591415571938795,895.7864084937446,112.49466446709371,-3.2396393493805906,0.26356478485966106,-1.757687091430053,0.13101086787005198
60,49.875,29543.0,1083.0777547773196,0.8172832495690784,0.5907777799898359,0.3604434484759259,0.9174761153205855,0.7096297801939012,0.5032558198959084,756.9469826828291,1284.5496825415062,-1.6373417169624247,1.8243574801683735,0.24638337112238629,0.945686048533825
