Cell ID,Number of Frames Appeared
1,2
2,57
3,32
4,69
5,11
6,43
7,14
8,38
9,45
10,65
11,49
12,59
14,2
15,8
16,7
18,5
19,12
20,1
22,11
23,4
24,2
25,19
26,37
27,2
28,3
30,4
31,12
32,2
34,11
35,16
36,9
39,8
44,2
45,34
46,8
47,1
48,4
49,2
50,2
51,8
52,1
53,14
54,8
56,2
57,13
58,1
60,8
61,6
62,1
63,11
64,6
65,1
66,14
70,5
71,6
72,4
73,24
76,1
78,13
79,17
83,13
84,3
85,1
86,1
87,2
90,9
91,1
92,1
96,3
