PHATE1,PHATE2,Cell Number,X_Centroid_Velocity_MA,Cluster
-0.04379248970576397,0.014931292514895838,2,1.3599999999999,1
-0.043971583827712046,0.01497809337903544,2,-0.67999999999995,1
-0.04339290199425137,0.009607276458378696,2,-1.3599999999999757,1
-0.04375679634221783,0.011066538157090938,2,-2.2099999999999795,1
-0.043631233667904536,0.010609145054444009,2,-0.8159999999999854,1
-0.04291898463966446,0.009205666706756219,2,-0.9519999999999982,1
-0.0423468232858073,0.00807638199561896,2,-0.1360000000000127,1
-0.038974381921060536,0.004204064402534194,2,-2.5840000000000147,1
-0.034290023573211245,-0.001599355730876418,2,-0.6800000000000181,1
-0.03281686136431308,-0.0025694460105345806,2,-0.2720000000000254,1
-0.03346750610198084,-0.00237583939209059,2,-1.0879999999999654,1
-0.034180136203119584,-0.0017515846051028062,2,-0.5440000000000055,1
-0.0400622525872638,0.005257482155252171,2,1.6320000000000163,1
-0.0431258508249996,0.008893367837574833,2,2.040000000000009,1
-0.043975141172042966,0.009566593582010207,2,1.088000000000011,1
-0.04410242429377342,0.009608138065986607,2,0.5440000000000055,1
-0.04298993318325682,0.007950898883822343,2,-0.8159999999999854,1
-0.04170780796163707,0.0062513896488908096,2,0.6799999999999727,1
-0.041823616829769,0.006350780478928194,2,-0.5440000000000055,1
-0.040405008267985196,0.004932271269647457,2,-0.6799999999999727,1
-0.0402412703977504,0.004612438986295157,2,0.6799999999999727,1
-0.041692332488761676,0.006321473637880894,2,2.176000000000022,1
-0.04177723723293725,0.006368038064707729,2,0.2720000000000254,1
-0.041012688949396456,0.005455800721224236,2,-0.1359999999999672,1
-0.042194679905997956,0.007189767774638918,2,1.2920000000000074,1
-0.04195527749737709,0.009347140899557113,2,1.42800000000002,1
-0.036534402769635516,0.008862679151950185,2,-2.244000000000005,1
-0.034258929838915625,0.007513393209618684,2,0.0680000000000294,1
-0.03479652320726692,0.00929380749918358,2,1.5639999999999876,1
-0.034840080273201256,0.009181094550931319,2,3.552713678800501e-16,1
-0.034383072299998874,0.008541773782313461,2,-0.4079999999999923,1
-0.03631757575142724,0.010634474279762477,2,2.719999999999982,1
