PCA1,PCA2,Cell Number,X_Centroid_Velocity_MA,Cluster
-3.364976481830013,0.5601654107563061,2,1.3599999999999,1
-3.2747896160340253,0.5711891549375068,2,-0.67999999999995,1
-2.7916622184123265,1.375203255199463,2,-1.3599999999999757,1
-2.8689286656407424,1.1311637960257552,2,-2.2099999999999795,1
-2.8469845592720318,1.1384552042234404,2,-0.8159999999999854,1
-2.659560629805899,1.2863253086431012,2,-0.9519999999999982,1
-2.579448373174895,1.4147692447231497,2,-0.1360000000000127,1
-2.2231890110096897,1.1843298740672321,2,-2.5840000000000147,1
-1.6943122438042186,1.4450344922468945,2,-0.6800000000000181,1
-1.604219442338802,1.3610318422851626,2,-0.2720000000000254,1
-1.5009404583924753,1.68041105823925,2,-1.0879999999999654,1
-1.5155320887646528,1.7562872512309802,2,-0.5440000000000055,1
-2.2359866273546767,1.3685885462178535,2,1.6320000000000163,1
-2.7293265611471993,1.6486125360723554,2,2.040000000000009,1
-2.907297300792026,2.035454585362491,2,1.088000000000011,1
-2.8849108482311516,2.0080021718836525,2,0.5440000000000055,1
-2.5567500273219936,2.2531133782853847,2,-0.8159999999999854,1
-2.306768251786387,3.157438649209181,2,0.6799999999999727,1
-2.2840423587171936,2.7000413807699215,2,-0.5440000000000055,1
-2.036442486926221,2.8391327891021403,2,-0.6799999999999727,1
-2.007402269590262,3.140473236749714,2,0.6799999999999727,1
-2.330709975452904,3.09371141974409,2,2.176000000000022,1
-2.306793209379582,2.5294525582242593,2,0.2720000000000254,1
-2.1643202486267685,2.6480377241326907,2,-0.1359999999999672,1
-2.3904850795615977,1.9035743907789882,2,1.2920000000000074,1
-2.714895220471419,0.963975588761223,2,1.42800000000002,1
-2.458577354065894,0.27876212580959225,2,-2.244000000000005,1
-2.335021798845781,-0.10887615946278605,2,0.0680000000000294,1
-2.489323127613224,-0.4293557282887415,2,1.5639999999999876,1
-2.4715802680156833,-0.4111282513603026,2,3.552713678800501e-16,1
-2.4161147971545116,-0.3944041302561246,2,-0.4079999999999923,1
-2.7639730894245624,-0.30396656668962213,2,2.719999999999982,1
-3.078203705735447,-0.3078846780713171,2,2.040000000000009,1
-3.129027272527453,-0.29653918240380495,2,1.088000000000011,1
-3.1085944616187713,-0.25602643720742824,2,10.744000000000009,1
-2.3730938576698724,-0.2744655136776882,2,1.4960000000000506,1
-1.6222736051115767,-0.305303825881502,2,0.4080000000000396,1
-1.4599166646270385,-0.27363875760728557,2,0.2719999999999813,1
-0.6382925793726006,-0.2565530488625484,2,-10.471999999999978,1
0.08691338309523115,-0.2634329003067228,2,-18.359999999999992,0
-0.35124456827806666,-0.26099109373271945,2,-1.2240000000000235,1
-0.7464453167593315,-0.2401904945515082,2,0.5440000000000055,1
1.700394230089779,0.03981684151828152,3,-36.72000000000003,3
0.5260595017480508,0.07797830207181686,3,-8.840000000000032,3
-0.35707545238514504,-0.09793073354569178,3,-7.25333333333333,1
0.28247659759538046,-0.14889783324396844,3,-11.22,0
-0.1846112237129051,-0.22659515124971924,3,-2.1759999999999997,0
-1.2723897271073803,-0.2844575753734122,3,3.672000000000003,1
-0.8433907439294396,-0.37670400988428154,3,-10.33599999999999,1
-0.07572579714176554,-0.33681558476630125,3,-8.160000000000014,0
-0.19523394350547318,-0.40822342442000126,3,-3.26400000000001,0
0.6806852318870724,-0.2644883490593763,3,-10.336000000000013,0
1.0009509479658014,-0.158864509444851,3,-4.624000000000024,3
0.40179859180674665,-0.13204765883143632,3,8.431999999999993,0
-0.12598248055715436,-0.27467855500262744,3,9.792000000000009,0
-0.9852353110070029,-0.2425222031263007,3,7.07199999999998,1
-1.6326840214531215,-0.4577082231790253,3,8.56799999999996,1
-1.5733015272579716,-0.6623007140399872,3,0.13599999999999,1
-1.60831881715107,-0.8110025821080732,3,-2.176000000000045,1
-1.7019784624675094,-0.7247125267219303,3,-5.848000000000047,1
-1.5169825697005066,-0.794333199062675,3,-4.080000000000018,1
-1.8392844059022073,-0.7685296608066349,3,-4.487999999999988,1
-1.3032526701660445,-0.715894250574967,3,-5.848000000000002,1
-0.8037226614802788,-0.6920536026698835,3,-7.751999999999998,1
-0.16927021340922832,-0.5411536871226474,3,-11.287999999999988,0
-0.1521993216053276,-0.5486130282795385,3,-3.3999999999999986,0
0.01551687672164347,-0.4561590882460982,3,-0.679999999999994,0
-0.4634925579930046,-0.4497622128830894,3,4.759999999999993,1
-1.0148720844413357,-0.44725099672178237,3,6.800000000000002,1
-1.7163892183021843,-0.595352361234372,3,13.192000000000007,1
-1.7066782894413728,-0.5867034866416563,3,8.024000000000024,1
-1.672879688928694,-0.708101441216738,3,1.4959999999999805,1
-1.3480940969968773,-0.4344701399974305,3,0.8160000000000078,1
-0.9526156777668563,-0.20435246006439564,3,-1.9039999999999964,1
-0.7587586754343234,-0.14416748531129153,3,-2.040000000000009,1
-0.6045644883780849,-0.0771399918500705,3,-4.420000000000028,1
-0.6695325629442573,0.008440012588649936,3,-10.54000000000001,1
-0.3904874923177278,-0.027673909040509644,3,-5.100000000000023,1
-0.8153598340668415,-0.09178008909331867,3,-5.644000000000006,1
