PHATE1,PHATE2,Cell Number,Area_MA,Cluster
-0.010106488720353983,0.028849409796862433,1,26265.0,3
-0.010580638563064177,0.02907342961021608,1,27551.5,3
-0.009308482957843704,0.026870684734262813,1,23668.33333333333,3
-0.0065752499682273325,0.022859171275837496,1,21889.75,3
-0.0032709173680988634,0.019734679285619908,1,20706.4,3
-0.003934094339035908,0.016992653195119226,1,18648.0,3
-0.0053310294171843515,0.016994328879362492,1,17878.4,3
-0.007730743751637164,0.018441303146679886,1,19636.6,3
-0.008795184246730111,0.020041828197194102,1,21484.4,3
-0.009916578834508841,0.023375015061154705,1,23242.6,3
0.011578665757949292,0.020767590895365003,1,23348.8,3
0.021127591780999756,0.016849784610834466,1,21577.2,1
0.023406609882132293,0.013101009318284956,1,19880.0,1
0.020967549511417573,0.013056496017697131,1,19908.2,1
0.017910196231941785,0.01411130025089942,1,20142.2,1
0.01696237167125934,0.016747911267386582,1,21382.4,1
0.016949413953590425,0.016636273457132488,1,23183.6,1
0.016869024449827946,0.016011485819124514,1,24531.8,1
0.017014360608729278,0.015205498653855431,1,23186.0,1
0.01699488932900713,0.014921321141162769,1,21573.0,1
0.016914794434762175,0.015176721766541945,1,21266.4,1
0.01784240970482992,0.012368005583641688,1,19788.6,1
0.01199890583368935,-0.012664791705617792,1,18752.6,0
0.008322728198094391,-0.030151397727791542,2,20663.0,0
0.008228507701209057,-0.030185370159094508,2,20288.0,0
0.00940321111576334,-0.027544555050499863,2,19574.0,0
0.007604565602951524,-0.02466660918909416,2,19863.75,0
0.008679031841516811,-0.026005227924643284,2,19393.8,0
0.00796008889131487,-0.024605299026295546,2,19094.8,0
0.007823377433255332,-0.02314523140582265,2,19068.2,0
0.00785926943513871,-0.024512851576300322,2,19546.8,0
0.010114883981219312,-0.02135324826481468,2,20421.8,0
0.011594160137686247,-0.01698036783023576,2,21857.4,0
0.013159712381634955,-0.01540930538614991,2,22310.4,0
0.01346956696409956,-0.014852680954241224,2,22828.4,0
0.013168147958159774,-0.012665814996590948,2,23313.4,0
0.010058616775184142,-0.018795428164525292,2,22353.6,0
0.008435217640791713,-0.024001293602700337,2,21137.4,0
0.007082766951171825,-0.023686781178022476,2,20961.0,0
0.006902313643294025,-0.02406997745039663,2,20311.0,0
0.0068293496411914656,-0.024350772616657905,2,20161.4,0
0.007295690465633613,-0.021881665339770914,2,20282.2,0
0.009377724296008746,-0.015851306795187287,2,20865.4,0
0.008129479940649003,-0.020188270445795214,2,20691.2,0
0.007460420358694569,-0.02184073477329821,2,20607.4,0
0.007605382479253854,-0.021422354730413685,2,20364.8,0
0.007433094143440063,-0.021199987314182378,2,20282.4,0
0.007142781872346968,-0.022775522997148082,2,19625.6,0
0.007569684188736953,-0.021496226781873608,2,19514.6,0
0.00828385883528328,-0.020038923632830986,2,19397.0,0
0.009210118915183104,-0.01927181914543351,2,19498.8,0
0.011148016039762124,-0.021058485177594878,2,18973.8,0
0.01456512854807375,-0.021776343877819807,2,18925.4,0
0.014957339961519545,-0.022470315104724855,2,19436.0,0
0.015810549102701254,-0.02075868900070713,2,19905.0,0
0.014094759796122552,-0.02310080349412991,2,19666.4,0
0.014396969475417151,-0.02275220464263105,2,19730.8,0
0.015277629085713569,-0.02173983279964036,2,19711.2,0
0.013054342186477292,-0.025618643076714805,2,18985.2,0
0.011717616691128677,-0.027101433510512883,2,18484.2,0
0.00927330108129877,-0.029056163313511005,2,17887.2,0
0.008140969764237348,-0.02959092628998928,2,17740.0,0
0.007768286442711586,-0.029976249516172854,2,17594.6,0
0.008983635767772395,-0.029272101798315287,2,17387.2,0
0.009346932141291559,-0.029145130524371447,2,17108.2,0
0.013540870102567245,-0.024860525030651216,2,18780.2,0
0.01418385168490527,-0.02440030796182845,2,18591.6,0
0.018085637794841524,-0.01179069411143824,2,20303.0,1
0.018373132631865425,-0.003918185185995074,2,22115.4,1
0.018837287171139302,-0.0032550910554667834,2,22171.0,1
0.01875674974125946,-0.009694302069123858,2,20468.6,1
0.02016197601765597,0.001447711423895028,2,22520.6,1
0.020148058166460557,0.001603635276689442,2,22211.8,1
0.018003842656396287,-0.004423156223657943,2,20386.8,1
0.01815967649446285,-0.0019722858034432692,2,20409.2,1
0.018253671696803076,-0.00042612692932845374,2,20102.0,1
0.018336866993213727,-8.416778016711923e-05,2,19553.0,1
0.01819349171247061,-0.0004358640049454661,2,18203.6,1
0.018700246530915766,0.0034458255785410857,2,18707.8,1
0.01911234395107412,0.00794062439981162,2,19144.0,1
0.018362600027815566,0.01227466637330942,2,19827.2,1
0.019070488935577154,0.006949811145520936,2,17012.0,1
0.019201969937137194,0.008245877118911534,2,17295.4,1
0.019101861149785786,0.008675415361945066,2,17224.8,1
0.01915298726072391,0.008851795740888626,2,17215.8,1
0.019031054343082155,0.009792316466922016,2,17306.0,1
0.018334774907365833,0.011304895039238975,2,18503.2,1
0.018960277498099556,0.009014250724375414,2,18066.6,1
0.018815357308690883,0.006025303511205988,2,17748.0,1
0.01832134495705885,0.0006534855149822565,2,17220.6,1
0.017526156957435087,-0.005653610153026634,2,16656.2,1
0.01707395664511336,-0.009819513961566152,2,16929.0,1
0.017555567848097156,-0.013767967476040992,2,17055.4,1
0.01780785985604698,-0.006973734894510061,2,18469.6,1
0.01926287230650399,-0.002219837802115928,2,20288.0,1
0.019857052853903753,0.0024451454778748175,2,21720.4,1
0.01990961214132469,0.004627486565535478,2,21438.4,1
0.017874543382159113,0.013017555162515673,2,22589.6,1
0.018292749302130526,0.01116653863277018,2,20946.8,1
0.019018478654972505,0.008653302756744944,2,20110.6,1
0.019157032820723875,0.0072931003688880905,2,19685.2,1
0.018472529421193165,0.009918707211533031,2,20612.4,1
0.01945306537280786,0.00555065657999368,2,20056.2,1
0.01786183086327492,-0.015522610133339176,3,34825.0,0
0.0216914806964901,-0.007449530466732739,3,35662.5,1
0.023184868583289612,0.004533043307627143,3,39844.0,1
0.02298895594847548,0.004277028284927683,3,38785.0,1
0.02300229180988938,-0.0005863349246642222,3,38162.0,1
0.022162245268660834,0.010013079182771018,3,41532.2,1
0.020207974218687266,0.014338290036487344,3,44673.4,1
0.02251653290027482,0.008907718116822935,3,42432.2,1
0.023766289796763537,0.0016589380115424634,3,41995.6,1
0.023018022164748294,0.009584665101784053,3,45456.4,1
0.023381628161987494,0.008225041225826225,3,45652.2,1
