PHATE1,PHATE2,Cell Number,Convexity_MA,Cluster
-0.012986418118179894,-0.0008221086201629933,7,0.9047878161003852,3
-0.010429952978110824,-0.00030154860713747935,7,0.9081229569640922,3
-0.011049083530434831,-0.002913849272326686,7,0.904380646758646,3
-0.01074899898406663,-0.003133653212256054,7,0.9085349346767472,3
-0.010431680692836906,-0.0028545881553264556,7,0.9120713669174622,3
-0.011327123638641962,-0.0031683860188102004,7,0.9146051607717288,3
-0.012509024240263998,-0.003525241249650591,7,0.9177220156837864,3
-0.012627336381093694,-0.0033100770162070546,7,0.923256637291656,3
-0.012890142495956403,-0.002996375749078411,7,0.9231964791334432,3
-0.012963592366379185,-0.003146139715329144,7,0.9243210246320152,3
-0.011710511342848826,-0.0035153219227349037,7,0.9279682116389756,3
-0.011872093640613564,-0.0037312052709063607,7,0.9264616988733684,3
-0.01099387902584707,-0.004113580340159862,7,0.9244850516570606,3
-0.010772197675156095,-0.004345707912816505,7,0.9213989136143136,3
-0.011613999552199739,-0.004305884276911104,7,0.9199280890821496,3
-0.012092003953434337,-0.004102215564389468,7,0.9190619777128956,3
-0.012433197775658347,-0.00401884856896674,7,0.9207141099433096,3
-0.013547185871329956,-0.003608753995229606,7,0.9274411120988793,3
-0.013544573884740273,-0.0037741799367823547,7,0.9312831232440464,3
-0.013926191997424587,-0.004206110639017389,7,0.9341917636068396,3
-0.01389877121423038,-0.004110596267831767,7,0.9335679242578568,3
-0.013591114766646917,-0.0045798960032072305,7,0.937465918006632,3
-0.012403639549104723,-0.005373122916590253,7,0.928644014151108,3
-0.011205125150712977,-0.005127989029294387,7,0.931545918768547,3
-0.010056935681001746,-0.005049856846801647,7,0.9292298641623448,3
-0.007408458690012686,-0.005707058755885824,7,0.926848516174205,1
-0.0034742137267963166,-0.005998963166326039,7,0.9224166860721456,1
-0.0022121616405701605,-0.006684097245600761,7,0.9269566607907096,1
0.004027900508398945,-0.008860306534360388,7,0.9237214696472748,1
0.009698745840001969,-0.01250664501230705,7,0.919445655237202,1
0.012872514297497903,-0.013604682471836198,7,0.9189960709825222,1
0.016849946607796106,-0.013415908080095924,7,0.9169876253970464,1
0.019833006061893026,-0.0130796814336518,7,0.9162371459557268,1
0.022410043242098412,-0.013027678111098182,7,0.9126076455147436,1
0.024028131352292738,-0.013136219420226263,7,0.9152386667353184,1
0.024624608065531458,-0.013133339891556791,7,0.9159333624313806,1
0.02494930880445513,-0.013079603390079705,7,0.9183205264523142,1
0.02542804626655264,-0.013355050073359367,7,0.9187396506002696,1
0.025053403548353857,-0.013248251163911342,7,0.9263660343664606,1
0.025080950728656737,-0.01333102227327904,7,0.9265567660143418,1
0.02471739359354147,-0.013453547460845986,7,0.9271920636759048,1
0.004091980380772262,-0.0160229589913922,10,0.9239085110387532,1
0.00420371756622908,-0.01738568340671764,10,0.909516446881,1
0.0074015567300108045,-0.018176939528025994,10,0.9011646339309932,1
0.006563310886373307,-0.018368723774349897,10,0.8994085178821939,1
0.007011407946926902,-0.018764720717730977,10,0.8913861378255724,1
0.006610187808658665,-0.018953563219250513,10,0.8860143591316353,1
0.008678246850750606,-0.019009576845313913,10,0.885601406867989,1
0.010195373736279777,-0.018681631850864903,10,0.8908179946275142,1
0.010062120723034878,-0.018732072914095073,10,0.8918443402031414,1
0.009132333538466552,-0.01841080694856356,10,0.8988809053523783,1
0.009019101747474044,-0.018295556706118255,10,0.8974265222839733,1
0.009288123746909724,-0.018399144524039547,10,0.894546416543341,1
0.006560078070190984,-0.017063934830019833,10,0.8955078587172286,1
0.006228966208804967,-0.017038948262522537,10,0.8905167780519141,1
0.005790284079211345,-0.01691814264368331,10,0.8863594845991087,1
0.00575621133377427,-0.016811854599331835,10,0.8852169196660913,1
0.0042090386525293596,-0.01565650289460172,10,0.887760295071575,1
0.004751434660266028,-0.0160757674677193,10,0.8856915515887162,1
0.004765754002071726,-0.015991057934123143,10,0.8889088397442675,1
0.004571323886134171,-0.015727872110937943,10,0.8975618436986033,1
0.004570048282431642,-0.01577949064178754,10,0.9044476876718917,1
0.004007222337189741,-0.01580156459318865,10,0.9165744236184687,1
0.00379742206708267,-0.015837733088405834,10,0.9199170211867176,1
0.0029752355243966673,-0.015444805367267646,10,0.9254960318083354,1
0.0026324867982717107,-0.015332357566974346,10,0.9281567569129924,1
0.002778206325172805,-0.01533169021740583,10,0.9294323485751844,1
0.003429122662195001,-0.015614983955485932,10,0.9293810593022704,1
0.002698669592850853,-0.015575596933102419,10,0.932066305995369,1
0.0015155827362537462,-0.014913030187584522,10,0.9345269358518802,1
-0.001078645387257134,-0.011795651233107517,10,0.9391875673219394,1
-0.0030953863085830587,-0.010037946745432024,10,0.9422814833450776,1
5.6854802852304645e-05,-0.012237016378803521,10,0.9324861315861036,1
0.001654825838121266,-0.013009989097385979,10,0.9274538854910932,1
0.0005454638331654432,-0.012181559378373816,10,0.9254423714228258,1
0.0019701265740768004,-0.01426680620513309,10,0.9155163290020376,1
