Cell Number,Frame,Area,Perimeter,Solidity,Extent,Circularity,Convexity,Elongation,Compactness,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity,Area_MA,Perimeter_MA,Extent_MA,Solidity_MA,Compactness_MA,Elongation_MA,Circularity_MA,Convexity_MA,Centroid_X_MA,Centroid_Y_MA,X_Centroid_Distance_MA,Y_Centroid_Distance_MA,X_Centroid_Velocity_MA,Y_Centroid_Velocity_MA
1,11,26265.0,1853.5117600329309,0.6814643765243111,0.47009235395189,0.0960719437304459,0.972866955643226,0.9496834741733756,0.1996198538527721,407.3200000000001,65.28,45.56,6.119999999999997,4.141818181818182,0.5563636363636362,26265.0,1853.5117600329309,0.47009235395189,0.6814643765243111,0.1996198538527721,0.9496834741733756,0.0960719437304459,0.972866955643226,407.3200000000001,65.28,45.56,6.119999999999997,4.141818181818182,0.5563636363636362
1,16,28838.0,2041.1513703397204,0.6937881922725304,0.5275597753507857,0.0869810359332475,0.9631361316429948,0.957474768199738,0.1887569573325443,433.84,65.96000000000001,26.519999999999985,0.6800000000000068,5.303999999999997,0.1360000000000013,27551.5,1947.3315651863256,0.49882606465133783,0.6876262843984208,0.1941884055926582,0.9535791211865567,0.0915264898318467,0.9680015436431104,420.58000000000004,65.62,36.03999999999999,3.400000000000002,4.72290909090909,0.3461818181818187
1,19,15902.0,982.634559672906,0.7993766651585985,0.5902746844840386,0.206955772467829,0.9848247855617344,0.9032415202874708,0.285657681914457,322.32000000000005,67.32000000000001,-111.51999999999998,1.3599999999999994,-37.173333333333325,0.4533333333333331,23668.333333333332,1625.7658966818524,0.5293089379289048,0.7248764113184801,0.22467816436659113,0.9367999208868615,0.13000291737717415,0.9736092909493185,387.82666666666665,66.18666666666667,-13.146666666666667,2.720000000000001,-9.242505050505049,0.3818989898989902
1,21,15973.0,1015.605122421383,0.8062285483545326,0.676449413458688,0.1946016823000954,0.9730819627921594,0.9123202949928264,0.276313990817069,304.64000000000004,66.64,-10.879999999999995,-0.6800000000000068,-10.879999999999995,-0.6800000000000068,21744.5,1473.225703116735,0.5660940568113506,0.7452144455774932,0.2375871209792106,0.9306800144133527,0.14615260860790447,0.9734774589100287,367.03000000000003,66.30000000000001,-12.579999999999998,1.8699999999999992,-9.651878787878786,0.11642424242424093
1,22,15973.0,1015.605122421383,0.8062285483545326,0.676449413458688,0.1946016823000954,0.9730819627921594,0.9123202949928264,0.276313990817069,341.36,65.96000000000001,36.71999999999997,-0.6799999999999926,36.71999999999997,-0.6799999999999926,20590.2,1381.7015869776646,0.5881651281408181,0.7574172661329011,0.24533249494678228,0.9270080705292475,0.15584242334634263,0.9733983596864547,361.8960000000001,66.232,-2.7200000000000046,1.3600000000000008,-0.37750303030303484,-0.04286060606060578
1,25,25793.0,1693.156420973604,0.8025202240199129,0.5642254014087588,0.1130622329213556,0.9742534529022228,0.9468856362009972,0.2151990262842035,359.04,65.28,-9.519999999999982,-0.6800000000000068,-9.519999999999982,-0.6800000000000068,20495.8,1349.6305191657993,0.6069917376321918,0.7816284356320213,0.24844832943306855,0.9264485029347718,0.15924048118452458,0.973675659138254,352.24,66.232,-13.736,0.0,-3.1098666666666674,-0.29013333333333435
1,26,24764.0,1642.3158005400378,0.796423747346755,0.5541532402434658,0.1153764884864151,0.983562873581425,0.9444563311134466,0.2196501550863945,337.96000000000004,65.96000000000001,-21.079999999999984,0.6800000000000068,-21.079999999999984,0.6800000000000068,19681.0,1269.8634052058628,0.6123104306107279,0.8021555466468664,0.25462696898383863,0.9238448155175135,0.16491957169515808,0.9777610075259402,333.064,66.232,-23.255999999999993,0.0,-8.386666666666663,-0.18133333333333326
1,30,16504.0,679.3158005400378,0.8236350933226869,0.5613605442176871,0.4494233644787333,0.8532548534648814,0.4842928888033073,0.6712189257449208,81.60000000000001,99.96,-256.36,34.0,-64.09,8.5,19801.4,1209.1996533792892,0.6065276025574575,0.807007232279684,0.33173921774993137,0.8400550892206808,0.21341309009733894,0.9514470211065695,284.91999999999996,72.76,-52.224000000000004,6.5280000000000005,-13.77,1.4280000000000002
1,31,16132.0,1017.8477631085024,0.8315035307458378,0.680675105485232,0.1956736851777846,0.9796524778200092,0.9144899674435392,0.2815774889295867,231.2,65.96000000000001,149.60000000000002,-34.0,149.60000000000002,-34.0,19833.2,1209.648181516713,0.6073727409627663,0.8120622287579451,0.3327919173724349,0.8404890237108233,0.21362749067287684,0.9527611241121395,270.232,72.624,-20.127999999999997,-0.1359999999999985,18.326000000000004,-5.235999999999999
1,33,25934.0,1465.186904245653,0.5487515869657216,0.3231651090342679,0.1518075299360959,0.8251569991245877,0.8027962059491994,0.3126588700816889,133.96,74.12,-89.08000000000001,8.159999999999997,-89.08000000000001,8.159999999999997,21825.4,1299.5645378815668,0.5367158800778823,0.760566836480183,0.34006089322535893,0.8185842059020979,0.2050686602000769,0.9231761313786253,228.752,74.256,-45.288,1.6319999999999992,-6.833999999999992,-3.468000000000001
1,34,25934.0,1465.186904245653,0.5487515869657216,0.3231651090342679,0.1518075299360959,0.8251569991245877,0.8027962059491994,0.3126588700816889,136.68,72.76,2.719999999999999,-1.3599999999999994,2.719999999999999,-1.3599999999999994,21853.6,1253.9706345359768,0.4885038216029841,0.7098131090693446,0.359552861984856,0.7897663198517384,0.21281771960302498,0.8933568406230983,184.28000000000003,75.752,-42.839999999999996,1.4960000000000009,-4.385999999999996,-3.603999999999999
