PCA1,PCA2,Cell Number,Area_MA,Cluster
-3.5291778366879005,0.3745405543058964,2,20663.0,1
-3.4436450897778315,0.3893639019092076,2,20288.0,1
-2.974844445027026,1.2421924783385516,2,20436.33333333333,1
-3.044731860056282,0.9954980959983467,2,19705.75,1
-3.0213825919057933,1.0073827378091667,2,19598.2,1
-2.836295337936654,1.1728635988049472,2,19421.6,1
-2.7572319917270818,1.3108346255003807,2,19546.8,1
-2.3956854055992,1.089832384323248,2,20421.8,1
-1.873309281845868,1.3771615744411867,2,21857.4,1
-1.782775193437308,1.2926721471282032,2,22310.4,1
-1.6859485706870083,1.6202900507401405,2,22947.2,1
-1.7013527335309735,1.6983753272909283,2,22901.2,1
-2.413411984042798,1.2700369530263083,2,21601.8,1
-2.9125081514791273,1.5338731100272722,2,20773.6,1
-3.097102425427712,1.9237898376564146,2,20311.0,1
-3.0739419287419527,1.8990126143322543,2,20161.4,1
-2.7491184503023023,2.1687852868161124,2,20282.2,1
-2.5194658502254446,3.102946763594766,2,20865.4,1
-2.487479870435055,2.637768151345561,2,20691.2,1
-2.243536907173728,2.7905035767779984,2,21067.8,1
-2.220049265950619,3.1030244155041635,2,20724.8,1
-2.5422621098319245,3.0414933371917954,2,20190.8,1
-2.5039500424618737,2.4723835208646876,2,19710.4,1
-2.361391936412652,2.60661197281855,2,19397.0,1
-2.570464557080366,1.8391518995631029,2,18771.6,1
-2.875040997407468,0.8644850697447853,2,18271.6,1
-2.6063429874605246,0.17402443742997786,2,18958.6,1
-2.4746301950367906,-0.21444747444816661,2,19197.4,1
-2.62185630362471,-0.5496447170678264,2,19214.4,1
-2.603705465217544,-0.5283970529422374,2,19219.8,1
-2.5476470273696603,-0.5061165066962303,2,19229.2,1
-2.89489933839754,-0.42622525849764065,2,18360.4,1
-3.2088330452711293,-0.44569076835635385,2,17789.0,1
-3.2606006834590655,-0.43634698288094403,2,17584.6,1
-3.242319844701115,-0.39262107808199664,2,17307.8,1
-2.5147995676983097,-0.3875548595348965,2,18844.8,1
-1.7716845746961005,-0.39587632615311685,2,20592.6,1
-1.6101245195154616,-0.35210968736296394,2,20536.6,1
-0.795240080700138,-0.30729534049107415,2,22457.2,1
-0.0741401185438072,-0.2877486808313053,2,23991.2,0
-0.5062422568783203,-0.29082514169133855,2,22234.2,1
-0.895823714670194,-0.271715673291459,2,20409.2,1
-0.18233202863456682,-0.3321161062907247,2,21779.6,0
