PHATE1,PHATE2,Cell Number,Area_MA,Cluster
0.03353757211959581,-0.01851916550997343,2,20663.0,2
0.0334972661221921,-0.018024042113968058,2,20288.0,2
0.03351819264803814,-0.01132400806154273,2,20436.33333333333,2
0.03395880316635586,-0.013015768341787063,2,19705.75,2
0.03390840006174876,-0.012715755868744245,2,19598.2,2
0.03309510220327513,-0.010338365426289632,2,19421.6,2
0.032358987073615966,-0.009262925123217518,2,19546.8,2
0.03144793305132517,-0.0077347739831853,2,20421.8,2
0.028656581265043248,-0.0027680631345693737,2,21857.4,5
0.02667887763101399,-0.0017584185632063501,2,22310.4,5
0.027895096211622786,-0.0011027111614757192,2,22947.2,5
0.028235843528147415,-0.0014530339494636436,2,22901.2,5
0.03159098457932623,-0.008064694320104928,2,21601.8,2
0.03299069509572264,-0.010363166421219844,2,20773.6,2
0.03327230899363118,-0.00982870341091801,2,20311.0,2
0.03342146821605085,-0.010091617703505907,2,20161.4,2
0.032190727352165105,-0.007336098217328036,2,20282.2,2
0.030291669874992714,-0.0021940178066990872,2,20865.4,5
0.030714932533267184,-0.004669761528978053,2,20691.2,2
0.030093876691854683,-0.0026559904772313443,2,21067.8,5
0.028608835934173047,0.0010889245675664997,2,20724.8,5
0.030859943984095056,-0.0039694720098398745,2,20190.8,2
0.03080899340897219,-0.005742333206889678,2,19710.4,2
0.030520915075628992,-0.00443660449523448,2,19397.0,2
0.03168200995793425,-0.007456847634438419,2,18771.6,2
0.032859193423723745,-0.011959808825015402,2,18271.6,2
0.028986000096853537,-0.012147164481489881,2,18958.6,2
0.026935344645368994,-0.011184240478064588,2,19197.4,2
0.028217489305521072,-0.013363496889663602,2,19214.4,2
0.02801357251637143,-0.013020046246034553,2,19219.8,2
0.02769324591363079,-0.012468932503111553,2,19229.2,2
0.02906852677189839,-0.01495605599645084,2,18360.4,2
0.03024754511263387,-0.017522125967929316,2,17789.0,2
0.030503142739108372,-0.018286429714799168,2,17584.6,2
0.030529069849532613,-0.017935475981322068,2,17307.8,2
0.027129557340141507,-0.01218927225270847,2,18844.8,2
0.018092952011626355,-0.0038837548242787933,2,20592.6,5
0.015815048246909703,-0.0022723177263569497,2,20536.6,5
0.006158920924247572,0.0018425399111138803,2,22457.2,0
0.0004341613743422799,0.003482064602018228,2,23991.2,4
0.002430784777813577,0.00294628480865787,2,22234.2,4
0.006513002372113654,0.00136775553633977,2,20409.2,0
0.020433038642612363,0.004171913551491072,3,36500.0,5
0.006531887985832067,0.011809782811257056,3,42353.5,0
0.008631619284474135,0.008868162243699362,3,40105.0,0
0.014074078951480993,0.0068085248424475005,3,38996.25,0
0.008972858841956624,0.009365485060182371,3,41532.2,0
0.011033913142293223,0.008436283585280984,3,41632.4,0
0.02112516155030375,0.000727967246902456,3,38676.0,5
0.017052504945253535,0.0050774597994839,3,42149.2,5
0.011052550972214603,0.009078551638826772,3,45546.2,0
0.012352989224748498,0.00845193512894254,3,45860.4,0
0.005486998897596351,0.012384750035317953,3,48635.8,0
0.002591269479300658,0.013170605943436968,3,47663.6,0
0.0072077495732757015,0.01021739996141376,3,43954.6,0
0.010520187838514924,0.00883892177610219,3,41054.2,0
0.018222298642936667,0.0033848532389528455,3,37123.2,5
0.022793682030086717,-0.0021032915744309973,3,34679.8,5
0.022399033937183458,-0.0011473881937254164,3,36040.6,5
0.021737255430712605,-0.0013046108153805082,3,32947.2,5
0.022098668357087823,-0.0016760675667182718,3,32812.2,5
0.021252479873683394,-0.00020154938218794658,3,34361.2,5
0.023193880734075523,-0.002521165484189137,3,34180.4,5
0.018960858900955765,0.0031132938774028145,3,36830.6,5
0.01815298431176036,0.0052288941068667745,3,43908.6,5
0.014601675038545809,0.007557712151854406,3,48151.4,0
0.01504164268197068,0.007538558722472264,3,48893.2,0
0.013700285490028299,0.008313324827935464,3,49335.8,0
0.017724221352319543,0.006191746743970306,3,48007.0,5
0.019971000555548506,0.004758390592452463,3,45244.2,5
0.02450757221454201,-0.0024442088450270807,3,41082.0,5
0.024468581991455726,-0.0028557978906325753,3,39335.0,5
0.0239941370683727,-0.002077373025636775,3,39945.0,5
0.021980335533356876,0.002057185754036508,3,39630.2,5
0.01975404688235999,0.0046011475053253665,3,39360.6,5
0.018795266375821663,0.005910053805230069,3,41062.4,5
0.018499897739917975,0.007963698597293704,3,42925.4,5
0.018858325294791183,0.0062643008224225515,3,41914.6,5
0.017531676523302953,0.008183576616296978,3,43701.6,0
0.019047914938083325,0.005348824961546118,3,42593.2,5
0.015747155074156468,0.006788732639124046,3,41803.0,0
0.018195432402338542,0.005079672170034783,3,38565.2,5
0.01408773493957148,0.007126689332497183,3,40117.4,0
0.01251579230188377,0.007474044395190021,3,40228.8,0
0.007852348274662921,0.009933479223965168,3,43082.6,0
0.009009958315410157,0.009915175745258738,3,47259.8,0
0.004560990070640289,0.014043457039398029,3,51048.8,0
0.0038119012058084258,0.014765959896346971,3,51893.6,0
0.005708475683907597,0.013115730398943027,3,52051.0,0
0.011387718987385415,0.0093204782589424,3,49495.8,0
0.016386902838979377,0.006288758882199588,3,44216.8,0
0.019054207511047836,0.004627121632418354,3,42302.2,5
0.022041722955375043,0.0019572953701254706,3,39166.0,5
0.0318085523892441,-0.02278456367154708,4,28965.0,8
0.02000157724862896,0.001517938103115163,4,30047.5,5
0.00789068507046258,0.003866404581765964,4,30080.0,0
0.0011651960927908515,0.0024930114369729186,4,27016.75,4
-0.002320860681796837,0.0041965736470155465,4,30855.8,4
-0.009444543843011141,0.003685235068461603,4,31110.8,4
-0.007933531226223818,0.0030660733758977876,4,30845.0,4
-0.006077669877391973,0.003728229292600183,4,30641.0,4
0.0010707359408906162,0.007086415992120291,4,33716.4,0
0.01928662069805473,0.010764809268091124,4,30572.0,0
0.01620547586066557,0.013663541420191746,4,32051.2,0
0.016162084761770373,0.013929986910494692,4,32681.2,0
0.014911793059467751,0.014266736170567946,4,33665.2,0
0.00664436796217362,0.014093768404634846,4,34093.6,0
-0.0015450955436487688,0.006755182783015663,4,35117.6,4
