PHATE1,PHATE2,Cell Number,X_Centroid_Velocity_MA,Cluster
0.03353757211959581,-0.01851916550997343,2,1.3599999999999,2
0.0334972661221921,-0.018024042113968058,2,-0.67999999999995,2
0.03351819264803814,-0.01132400806154273,2,-1.3599999999999757,2
0.03395880316635586,-0.013015768341787063,2,-2.2099999999999795,2
0.03390840006174876,-0.012715755868744245,2,-0.8159999999999854,2
0.03309510220327513,-0.010338365426289632,2,-0.9519999999999982,2
0.032358987073615966,-0.009262925123217518,2,-0.1360000000000127,2
0.03144793305132517,-0.0077347739831853,2,-2.5840000000000147,2
0.028656581265043248,-0.0027680631345693737,2,-0.6800000000000181,0
0.02667887763101399,-0.0017584185632063501,2,-0.2720000000000254,0
0.027895096211622786,-0.0011027111614757192,2,-1.0879999999999654,0
0.028235843528147415,-0.0014530339494636436,2,-0.5440000000000055,0
0.03159098457932623,-0.008064694320104928,2,1.6320000000000163,2
0.03299069509572264,-0.010363166421219844,2,2.040000000000009,2
0.03327230899363118,-0.00982870341091801,2,1.088000000000011,2
0.03342146821605085,-0.010091617703505907,2,0.5440000000000055,2
0.032190727352165105,-0.007336098217328036,2,-0.8159999999999854,2
0.030291669874992714,-0.0021940178066990872,2,0.6799999999999727,0
0.030714932533267184,-0.004669761528978053,2,-0.5440000000000055,0
0.030093876691854683,-0.0026559904772313443,2,-0.6799999999999727,0
0.028608835934173047,0.0010889245675664997,2,0.6799999999999727,0
0.030859943984095056,-0.0039694720098398745,2,2.176000000000022,0
0.03080899340897219,-0.005742333206889678,2,0.2720000000000254,2
0.030520915075628992,-0.00443660449523448,2,-0.1359999999999672,0
0.03168200995793425,-0.007456847634438419,2,1.2920000000000074,2
0.032859193423723745,-0.011959808825015402,2,1.42800000000002,2
0.028986000096853537,-0.012147164481489881,2,-2.244000000000005,2
0.026935344645368994,-0.011184240478064588,2,0.0680000000000291,2
0.028217489305521072,-0.013363496889663602,2,1.5639999999999872,2
0.02801357251637143,-0.013020046246034553,2,0.0,2
0.02769324591363079,-0.012468932503111553,2,-0.4079999999999927,2
0.02906852677189839,-0.01495605599645084,2,2.719999999999982,2
0.03024754511263387,-0.017522125967929316,2,2.040000000000009,2
0.030503142739108372,-0.018286429714799168,2,1.088000000000011,2
0.030529069849532613,-0.017935475981322068,2,10.744000000000003,2
0.027129557340141507,-0.01218927225270847,2,1.496000000000049,2
0.018092952011626355,-0.0038837548242787933,2,0.4080000000000382,0
0.015815048246909703,-0.0022723177263569497,2,0.27199999999998,0
0.006158920924247572,0.0018425399111138803,2,-10.47199999999998,0
0.0004341613743422799,0.003482064602018228,2,-18.359999999999992,4
0.002430784777813577,0.00294628480865787,2,-1.2240000000000235,4
0.006513002372113654,0.00136775553633977,2,0.5440000000000055,0
0.020433038642612363,0.004171913551491072,3,361.08,0
0.006531887985832067,0.011809782811257056,3,351.90000000000003,4
0.008631619284474135,0.008868162243699362,3,240.9466666666667,0
0.014074078951480993,0.0068085248424475005,3,179.69000000000003,0
0.008972858841956624,0.009365485060182371,3,139.128,0
0.011033913142293223,0.008436283585280984,3,73.71200000000002,0
0.02112516155030375,0.000727967246902456,3,3.672000000000003,0
0.017052504945253535,0.0050774597994839,3,-10.33599999999999,0
0.011052550972214603,0.009078551638826772,3,-8.160000000000014,0
0.012352989224748498,0.00845193512894254,3,-3.26400000000001,0
0.005486998897596351,0.012384750035317953,3,-10.336000000000013,4
0.002591269479300658,0.013170605943436968,3,-4.624000000000024,4
0.0072077495732757015,0.01021739996141376,3,8.431999999999993,4
0.010520187838514924,0.00883892177610219,3,9.792000000000009,0
0.018222298642936667,0.0033848532389528455,3,52.63199999999999,0
0.022793682030086717,-0.0021032915744309973,3,54.12799999999997,0
0.022399033937183458,-0.0011473881937254164,3,45.696000000000005,0
0.021737255430712605,-0.0013046108153805082,3,-2.7200000000000277,0
0.022098668357087823,-0.0016760675667182718,3,-6.39200000000003,0
0.021252479873683394,-0.00020154938218794658,3,-50.18400000000001,0
0.023193880734075523,-0.002521165484189137,3,-50.59199999999999,0
0.018960858900955765,0.0031132938774028145,3,-51.952,0
0.01815298431176036,0.0052288941068667745,3,-7.751999999999998,0
0.014601675038545809,0.007557712151854406,3,-11.287999999999988,0
0.01504164268197068,0.007538558722472264,3,-3.4,0
0.013700285490028299,0.008313324827935464,3,-0.6799999999999955,0
0.017724221352319543,0.006191746743970306,3,4.759999999999991,0
0.019971000555548506,0.004758390592452463,3,6.8,0
0.02450757221454201,-0.0024442088450270807,3,13.192000000000007,0
0.024468581991455726,-0.0028557978906325753,3,8.024000000000024,0
0.0239941370683727,-0.002077373025636775,3,1.495999999999981,0
0.021980335533356876,0.002057185754036508,3,0.8160000000000082,0
0.01975404688235999,0.0046011475053253665,3,-1.9039999999999964,0
0.018795266375821663,0.005910053805230069,3,-2.040000000000009,0
0.018499897739917975,0.007963698597293704,3,-4.420000000000028,0
0.018858325294791183,0.0062643008224225515,3,-10.54000000000001,0
0.017531676523302953,0.008183576616296978,3,-5.100000000000023,0
0.019047914938083325,0.005348824961546118,3,-5.6440000000000055,0
0.015747155074156468,0.006788732639124046,3,-13.396000000000026,0
0.018195432402338542,0.005079672170034783,3,-5.984000000000014,0
0.01408773493957148,0.007126689332497183,3,-6.66400000000001,0
0.01251579230188377,0.007474044395190021,3,-12.376,0
0.007852348274662921,0.009933479223965168,3,-7.616000000000008,4
0.009009958315410157,0.009915175745258738,3,0.9519999999999982,0
0.004560990070640289,0.014043457039398029,3,-12.103999999999996,4
