PCA1,PCA2,Cell Number,X_Centroid_Velocity_MA,Cluster
-3.2622813622572635,-0.5632489147575547,2,0.9495865779222186,0
-3.1765341197173425,-0.5774347345516212,2,0.1224546117468889,0
-2.8439035655300255,-0.9567254031841421,2,0.3456251307956487,0
-2.5681451560623785,-1.477428384633627,2,-0.358711157717039,0
-2.6553973336656798,-1.266503251217433,2,-0.5111410538702785,0
-2.5353606388034438,-1.391655016833583,2,-0.4363105597844878,0
-2.3844444290804594,-1.5364393126992233,2,-0.1720680162752615,0
-2.4865855635788647,-1.4403361171378863,2,-0.433082081891689,0
-2.134117330348863,-1.2043873723039231,2,-4.036376765988825,0
-1.6106231717718005,-1.4627442931441326,2,-2.7239694571065685,0
-1.521659884378068,-1.3717196379850745,2,-0.5463100231517274,0
-1.4074889975332,-1.4530537912293906,2,0.2535390419333453,0
-1.2343243857994664,-1.7946218827674394,2,0.1349510077899595,0
-1.7900180698120254,-1.744858227036912,2,4.875007970522802,0
-2.4215562384607847,-1.3828401806973585,2,3.506062437551509,0
-2.5427926712743467,-1.8647405880527888,2,2.095420812637576,0
-2.80791186078133,-2.062299223710404,2,1.641245698157445,0
-2.785413392508564,-2.032266722769954,2,0.3216245603568041,0
-2.460189583039035,-2.2843491236602937,2,-0.7469349079176937,0
-2.211441023847882,-3.197747827852002,2,0.8352817086351024,0
-2.1890862519929652,-2.7293264080482995,2,-0.6386039922492729,0
-2.269587221139439,-2.168094889982835,2,-1.4134971125657558,0
-2.3013325875687074,-2.294779202715802,2,0.2732197379042645,0
-2.387478257571748,-2.5853941126505857,2,1.2245931442610072,0
-2.472627537779768,-2.2150800901413943,2,0.6116745417587027,0
-2.3660104741606323,-2.3747306215604285,2,-0.4010157506775156,0
-2.0674651319030923,-2.6767284424694537,2,-0.0806473771521267,0
-1.7656891188960835,-2.122151340516364,2,-4.047348020710752,0
-2.052357688970342,-1.1893630988574677,2,-1.5376768132372036,0
-2.1432308216178053,-0.5817114838562868,2,-2.152624036615907,0
-2.0040917709436528,-0.09514423811242305,2,-4.315418678967944,0
-1.8746595753042639,0.2807938781151808,2,-3.0532319042493783,0
-2.1180917140642914,0.48378421553266293,2,1.985297165363045,0
-2.0732192223904558,0.45585049081464313,2,0.805364503354349,0
-2.017891831046972,0.4228322180437191,2,0.8452324068226517,0
-2.3018873670689404,0.3253496633571886,2,4.260644131686604,0
-2.5790278287617414,0.2912271740042959,2,2.8790191135556142,0
-2.9020609490138454,0.2913217357399208,2,2.2050102819189306,0
-2.9744842969451923,0.3221398035320243,2,0.5112935043326615,0
-2.998569743533118,0.29857700629502776,2,0.8298705738196077,0
-2.940597736041242,0.22590218246985969,2,0.6508931029348787,0
-2.929840717371272,0.15258748348506357,2,0.7947207816531318,0
-2.220095918444938,0.20509459208316658,2,-11.084726174619709,0
-2.1545293769808125,0.14554963548490876,2,0.5618911837611918,0
-1.4073048825962067,0.21184834618483175,2,-11.644879975440515,0
-0.7856358139792774,0.3232053081830142,2,-11.577403505448364,0
-0.7563694871010234,0.38203645508166145,2,0.1155901078309412,0
-1.29313789385273,0.29993858835802195,2,11.550484719323688,0
-0.5282063305062633,0.3015887379667708,2,-12.309107253784711,0
-0.5171361184909467,0.227333256146231,2,1.4720952004126957,0
-0.9037213300296564,0.20870913956387144,2,10.400013987216472,0
-0.683412822573635,0.2533808635242121,2,-0.2438253378060366,0
-0.6079000219712706,0.2198616693069378,2,1.313842844878674,0
-1.6020928533507774,0.5175462305196811,3,5.807393600123305,0
-1.2279574984621429,0.045038322340018505,3,1.831160027746023,0
-0.2414983385821848,0.01624732146052678,3,-18.04082860476952,0
-0.3262222872101244,-0.015614243374856316,3,-3.314246630470393,0
-0.6689746626625656,0.07617802780041413,3,-4.425882254079715,0
0.09627186645969847,0.03992655182725318,3,-14.701478463332773,0
0.7317063798618909,0.17130571122140523,3,-15.185940730385775,1
-0.009027699630746927,0.28674191212983,3,9.550317667247077,0
-0.6204070946040323,0.3523934247196905,3,-1.2221793662396068,0
0.09291232860407157,0.3353590964436489,3,-14.875957146573592,0
-0.0026808807118348273,0.3208355601149208,3,-4.498320871346799,0
-0.14094297234609152,0.41272801681205545,3,-2.410634904379138,0
0.723680195476635,0.2721144660888544,3,-17.731473365348894,1
1.791006420339408,0.31398614146496223,3,-15.578213835721726,1
1.077836985136928,0.1877895670120438,3,9.29060558782544,1
0.44411178319010935,0.1724925288013611,3,11.674742192255303,1
-0.05337539305614813,0.22864097714392922,3,14.970832360649798,0
-1.04415972142784,0.35648010526227547,3,12.930149084584832,0
-1.5831632471375403,0.4584868172240454,3,15.187400872654006,0
-1.3448609783616368,0.6927965853815666,3,8.038737014995286,0
-1.4132596331113372,0.8027706138445283,3,-1.722263407454078,0
-1.5628450763225148,0.7981535998283541,3,-5.33793312194557,0
-1.3063358778787149,0.8066767462298714,3,-2.652971118278741,0
-1.448076853658568,0.7846965217655405,3,-4.5994692782604485,0
-1.5357392452173217,0.6927511802940431,3,-6.101522828977545,0
-1.6722678177669301,0.6937784212916733,3,1.170456665472716,0
-1.815827786249417,0.6448909938091829,3,0.9339587827887272,0
-1.3764827616743867,0.6379593968611462,3,-6.693504668040623,0
-0.8650047296428084,0.6406087593454457,3,-7.250661839403006,0
-0.2502904956069809,0.5043730374057601,3,-14.157441953858642,0
-0.0861330859772159,0.5264373960501709,3,-4.178891824122229,0
0.053473540755802955,0.4386533622990493,3,-0.3407744769463761,0
-0.4210285425373261,0.42534550150975375,3,8.651576781658287,0
-0.9661072662272103,0.4160178168304403,3,10.313767861575936,0
-1.6567095139104708,0.562998834599114,3,18.36483738307327,0
-1.64581286643745,0.5560453700886331,3,9.624195606516082,0
-1.613566036199119,0.6785225950604837,3,2.232660026074882,0
-1.2899218562688772,0.40093790547346136,3,2.661762012822055,0
-0.8978134680639586,0.17066120922196026,3,0.3334654478080893,0
-0.7070306540952889,0.10687129515016375,3,-1.1627279069427003,0
-0.5548941379266958,0.037995916222555555,3,-4.538359161037329,0
-0.41311507326721375,0.03924151479966101,3,-3.066044291005801,0
-0.7916588936604451,0.3264863519043268,3,-14.562142106804751,0
-0.5105238067466487,0.2420257346952625,3,-6.600960659210864,0
-0.7690151119028814,0.20165201539902533,3,-10.922788507400265,0
-0.37864975009893226,0.11568637138029389,3,-20.407221275766734,0
-0.781625084309959,-0.06216819535878195,3,-6.722722767702839,0
-0.9867336783567611,-0.13207385053429205,3,4.820746159261307,0
-1.211036117865558,0.14889835679768385,3,-15.237785690205785,0
-0.4249822946688453,-0.04237658057194446,3,-13.541187043168224,0
-0.5315175030449583,-0.06840319817335512,3,0.4673984209550326,0
0.304227471512143,0.07716272394286192,3,-7.71830003978464,1
0.9206189140445276,0.21131382188436412,3,-16.000913372082458,1
0.9919010306772731,0.13999189665315365,3,-6.636797274973924,1
0.7222344100618794,0.43986868348750796,3,-3.854423316182374,1
0.08594459144880008,0.5543528630599212,3,4.1247650382704935,0
-0.579633286031833,0.5246004451303374,3,1.810755372853032,0
-0.8770548166071711,0.31323185041320095,3,9.967377988171256,0
-1.2422737942621058,-0.008783007216125993,3,11.012599591500452,0
-1.2472161695874475,-0.8183275109827866,6,9.266564626801255,0
-1.644029279515499,-1.1696102862311972,6,5.809443332948774,0
-1.9778934304776317,-1.1380803088420641,6,3.956425931600014,0
-2.2368270442593152,-1.3201075608899513,6,5.380223449967531,0
-2.3616706368776557,-1.3996392722923316,6,4.037071084912759,0
-2.837473218298899,-1.4819366864273011,6,1.03461473281468,0
-2.9335709849328335,-1.3596406344353886,6,1.8453821552097,0
-3.0629013052251075,-1.3145504782159207,6,0.1201569755954551,0
-2.7009869211616446,-0.9948670423676165,6,-2.3425180772679823,0
-2.397091911035822,-0.6633408118045816,6,-3.863092308969226,0
-1.992899075982649,-0.42063019247241096,6,-3.482727644820011,0
-1.6409061878832214,-0.20283111349875677,6,-5.084375870943108,0
-1.1417208303331843,0.0038374908268219918,6,-4.509340856194103,0
-1.131244331543323,0.11878129079100927,6,-4.255391144482769,0
-1.1299917739289864,0.18093955137293707,6,-0.4153400942715962,0
-1.155455392190142,0.06358813635590374,6,1.1443186774305103,0
-1.2434839144891374,-0.08216321922057628,6,2.4408539354983985,0
-1.4763778449466236,-0.27008861102083764,6,0.6224479429283747,0
-1.3409920122869843,-0.4240218225109984,6,0.0123692903715665,0
-1.2451356232666313,-0.5424937149105276,6,-4.7064004736309695,0
-0.9816268100449569,-0.5535137415225994,6,-4.63929039240179,0
-0.769533546105952,-0.48580285170433835,6,-5.312579852533349,0
-0.34224765369611126,-0.4425118582483595,6,-1.2504928842791518,0
-0.42591750104209486,-0.4393643120011813,6,1.9806341980969813,0
-0.5477633506922688,-0.30305362875205827,6,2.8676240051408057,0
-0.76967656562974,-0.08721100294589629,6,2.907387925639932,0
-0.7515186684734165,-0.10271019617226662,6,3.8214929934594464,0
-0.7738945355524377,0.0153692596864819,6,0.6810675423863131,0
-0.984723740253877,0.13926931503072013,6,0.887723218733322,0
-1.1115537976685106,0.08935479214482954,6,2.050443830965014,0
-1.0064590383847805,0.08477809516572053,6,-3.0919567941869674,0
-1.261302276027231,0.1419522577239481,6,0.4403397367284697,0
