Cluster,PCA1_mean,PCA1_std,PCA2_mean,PCA2_std,Convexity_MA_mean,Convexity_MA_std
0,0.9167555401193735,0.9764866464031722,0.7000079656288982,0.6127339598791606,0.838793222849345,0.04579980156367103
1,-2.058873519866538,1.063149111894387,0.08833980123495976,0.7342993379272493,0.9367784188852984,0.039957284550755735
2,0.9661659998299675,0.6812101376567913,-1.445850192682253,0.5371766674130242,0.9514081937295317,0.018140073653512806
3,4.662333412388261,0.6806829193741339,0.21959310699052684,0.6271424020095602,0.8388783118467374,0.04959549739817836
