group1,group2,meandiff,p-adj,lower,upper,reject
0,1,-0.7582,0.5955,-2.5923,1.0759,False
0,2,-0.4597,0.6964,-1.7913,0.8719,False
1,2,0.2985,0.9367,-1.7369,2.3339,False
