Cell_ID,Frame,Area,Perimeter,Solidity,Extent,Circularity,Convexity,Elongation,Compactness,Centroid_X,Centroid_Y,X_Centroid_Distance,Y_Centroid_Distance,X_Centroid_Velocity,Y_Centroid_Velocity
1,0,19791.0,1305.303607231218,0.745676500508647,0.5128264925373134,0.14596694763353135,0.9798766896956898,0.9364703178726971,0.23086037301992285,341.7839219847406,59.77633267646911,0.0,0.0,0.0,0.0
2,0,20178.0,740.9188309203678,0.8273741184188945,0.6222400394720612,0.46189867468514284,0.9075670889722506,0.5509632763858447,0.6126056858455997,1308.843159877094,96.28477153335317,0.0,0.0,0.0,0.0
3,0,34402.0,1078.517856687341,0.8446146669612825,0.5576954252180397,0.37165405497302734,0.9659675670942822,0.7488797392991459,0.4729839676390051,1049.8936119993025,108.03966978664032,0.0,0.0,0.0,0.0
4,0,30846.0,1245.813275223096,0.6528115807072866,0.44912638322655796,0.24974845460538433,0.9487224482229245,0.8331784018507684,0.3412670196975109,1255.4866277637295,683.5008117746224,0.0,0.0,0.0,0.0
5,0,20008.0,1260.475180106472,0.7563031563031563,0.5513668430335097,0.15825044715901168,0.9679743513970014,0.9217185518252806,0.25592465928657154,1137.0328668532588,721.5391023590564,0.0,0.0,0.0,0.0
6,0,29621.0,1139.8792924010781,0.7386230456574321,0.48758847736625516,0.28647837985646835,0.9036900193288833,0.6830184563404301,0.5018876936331437,780.3277661118802,1279.6114472840216,0.0,0.0,0.0,0.0
7,0,25385.0,969.2935059634515,0.811930273468735,0.5498158977691141,0.33952864917534425,0.9362180994953336,0.7311747139574414,0.475525583336882,183.7530636202482,1855.5732046484145,0.0,0.0,0.0,0.0
8,0,56570.0,1752.097546470558,0.7900837988826815,0.6641542218465295,0.2315684985854521,0.8586946600718826,0.811520760190229,0.4088767992595575,1169.5145822874315,1880.197030935125,0.0,0.0,0.0,0.0
9,0,42981.0,1612.0031380615796,0.784582527107444,0.5500230343980343,0.2078521943481042,0.9450895800699735,0.8815834952912751,0.327588041261705,1154.50159838068,2452.5122440147975,0.0,0.0,0.0,0.0
10,0,23447.0,890.8010819142763,0.8314244175738449,0.5503990610328638,0.371309170792393,0.9534622834691977,0.6929159878755287,0.4995699433695812,750.0180748070117,2460.0826374376256,0.0,0.0,0.0,0.0
11,0,20281.0,701.889393668845,0.9747200461383189,0.7545576307760994,0.5173230977663796,0.9924294162196904,0.7039223634406531,0.5346953552656605,220.33398155909475,2493.959832355407,0.0,0.0,0.0,0.0
12,0,77284.0,3513.017423411452,0.5753465449726785,0.4062020393146221,0.07869349760327361,0.7708109066043687,0.9187341831216773,0.21465366268764605,1027.5272843020548,3063.104750271725,0.0,0.0,0.0,0.0
1,1,15741.0,1116.1787155501902,0.7646087336668772,0.6503201817806238,0.15877229030749482,0.9792820876511896,0.9363374915394027,0.23198683002328768,601.4684022616099,64.05339940283338,259.6844802768693,4.277066726364268,259.6844802768693,4.277066726364268
2,1,20663.0,694.0904037956217,0.8493854564886751,0.6206782613919678,0.5389781502396211,0.9676646524780659,0.5543149212398645,0.6147915798423919,1309.7927464550162,97.48734452886804,0.9495865779222186,1.2025729955148705,0.9495865779222186,1.2025729955148705
3,1,34825.0,1027.210244842766,0.8778674061003277,0.5786133218136807,0.41474609416550795,0.9769292688406838,0.7204033860793415,0.5044924894790578,1055.7010055994258,108.10394946159369,5.807393600123305,0.06427967495336873,5.807393600123305,0.06427967495336873
4,1,20332.0,1381.653895656662,0.6738028169014084,0.3323199633879246,0.13384169663433274,0.9701233248899335,0.9309508569186661,0.22003166205720004,691.7469565217391,135.6738127090301,-563.7396712419904,-547.8269990655923,-563.7396712419904,-547.8269990655923
5,1,28965.0,862.79393923934,0.8995620982018075,0.7634422772799156,0.4889553759342488,0.8903726785815267,0.5727880244102579,0.6280788291435118,1309.4691565682722,694.7786901432764,172.43628971501334,-26.76041221577998,172.43628971501334,-26.76041221577998
6,1,11500.0,545.8650070512055,0.8566108007448789,0.7345426673479816,0.48499492628585505,0.9529215350995132,0.662810313366953,0.5522442628427049,1148.2623095652175,690.2502017391305,367.93454345333726,-589.3612455448911,367.93454345333726,-589.3612455448911
7,1,31475.0,1058.239682094289,0.8055022392834293,0.516678157523228,0.35318928314464526,0.9270198869816066,0.63057465146428,0.5589118306580029,789.5943307386815,1281.187276250993,605.8412671184333,-574.3859283974216,605.8412671184333,-574.3859283974216
8,1,18801.0,705.445742854949,0.9202643171806167,0.6151354534746761,0.4747484762321827,0.988256680558889,0.6242544350510033,0.574359370447519,216.1953321631828,1859.3321631828096,-953.3192501242487,-20.864867752315376,-953.3192501242487,-20.864867752315376
9,1,52912.0,1613.8965363437812,0.8298749980394925,0.7569021257116699,0.2552775731680016,0.8264873087335177,0.7879593346191047,0.44132408872819623,1187.4801368309647,1880.3809495010587,32.97853845028476,-572.1312945137388,32.97853845028476,-572.1312945137388
10,1,48432.0,1913.9625535217633,0.7361269435958233,0.505173564753004,0.1661404545904558,0.9564758407067747,0.9022920987626118,0.28631899513737874,1129.2717261314833,2454.7087801453586,379.25365132447166,-5.3738572922670755,379.25365132447166,-5.3738572922670755
11,1,20412.0,737.144227664784,0.858440575321726,0.575569591698624,0.4720526994961145,0.9361206170765963,0.5238085940745187,0.6556709218833298,724.5364354301392,2464.682253576328,504.2024538710445,-29.277578779078794,504.2024538710445,-29.277578779078794
12,1,20481.0,673.889393668845,0.9842848904267589,0.7760894278135657,0.5667398872619672,0.9979014111934333,0.6754019649055822,0.5617347557737347,217.21433133147798,2495.398865289781,-810.3129529705768,-567.7058849819441,-810.3129529705768,-567.7058849819441
13,1,76329.0,3385.8691911333112,0.5847621236497357,0.39112789583450763,0.08366794174235,0.7927402490031851,0.9182565782054293,0.21380974324216276,1031.1982224318413,3064.2600825374366,0.0,0.0,0.0,0.0
1,2,15949.0,1182.3391411371506,0.6885550230971809,0.541010854816825,0.14337029799778317,0.9646214242951832,0.9350842386555265,0.22896277451647665,555.4003711831464,62.933277321462164,-46.06803107846349,-1.120122081371214,-46.06803107846349,-1.120122081371214
2,2,19913.0,695.0193359837562,0.8317878028404344,0.6428525309917356,0.5180274619676705,0.9544518324994861,0.5680896739055717,0.6046850835623386,1309.0880691005877,95.80722944809924,-0.7046773544284406,-1.6801150807688003,-0.7046773544284406,-1.6801150807688003
