PCA1,PCA2,Cell Number,Area_MA,Cluster
2.2844374902066376,2.0896867108224817,1,26265.0,0
2.3073853730832603,2.1170915189535826,1,27551.5,0
1.5428717090826618,2.149823146441787,1,23668.33333333333,0
1.12632521706383,2.188906768741743,1,21744.5,0
0.8763973218525319,2.2123569421217146,1,20590.2,0
0.6882918850492723,2.2721273888233733,1,20495.8,0
0.47979612548314465,2.3345270633468727,1,19681.0,0
-0.118603787375284,1.4261689631225127,1,19801.4,0
-0.14592834152954115,1.4490417320817173,1,19833.2,0
0.38820780541537536,0.7691786871625308,1,21825.4,0
0.6288990393236912,0.07283938050551053,1,21853.6,3
0.8508631759200034,-0.6174445740496823,1,21441.8,3
1.6506788669163623,-0.10602251098501765,1,23168.6,3
1.9834455736887084,-0.5807719767174633,1,23783.2,3
1.7065312563715018,-0.6679794285219389,1,22830.8,3
0.3106935344629619,-1.7144491129295993,1,21193.8,3
-1.4898272952436522,-2.1454269672388757,1,20206.4,1
-3.471640647942035,-0.3520715533043929,2,20663.0,4
-3.3865682394296326,-0.3772510261647629,2,20288.0,4
-2.9197145504434467,-1.2454625784957285,2,20436.33333333333,4
-2.9897131165636,-1.00084877590234,2,19705.75,4
-2.9665286014591565,-1.0082900728255848,2,19598.2,4
-2.782370054773121,-1.17125040919876,2,19421.6,4
-2.7036169150666067,-1.303573586556194,2,19546.8,4
-2.3442981669185765,-1.0622963599752218,2,20421.8,1
-1.824314993811127,-1.3287123617216468,2,21857.4,1
-1.734159147747773,-1.2275930098484318,2,22310.4,1
-1.6375867455908284,-1.565916122456994,2,22947.2,1
-1.6527452338906579,-1.6403685802925307,2,22901.2,1
-2.3614356126710376,-1.2272740752057985,2,21601.8,1
-2.85746829236943,-1.5149589128468148,2,20773.6,4
-3.0406634482804606,-1.9232364705310099,2,20311.0,4
-3.0175651571440287,-1.8900920404563026,2,20161.4,4
-2.694380600789629,-2.162645915374081,2,20282.2,4
-2.4646680496552524,-3.1030185119425906,2,20865.4,1
-2.433188099471702,-2.6138164291154804,2,20691.2,1
-2.190498632988747,-2.7697265362854977,2,21067.8,1
-2.1667032634347385,-3.0874562096727707,2,20724.8,1
-2.487073167649551,-3.0250670244813365,2,20190.8,1
-2.449624526655771,-2.430859532970172,2,19710.4,1
-2.3078184714390986,-2.5642327460891514,2,19397.0,1
-2.516844173551216,-1.7886445090029552,2,18771.6,1
-2.8212427006896306,-0.8133546845431575,2,18271.6,4
-2.555305033374941,-0.11707054217129677,2,18958.6,4
-2.425030892984693,0.28025029220304853,2,19197.4,4
-2.5720708076266394,0.6114120766988547,2,19214.4,4
-2.5539874332514256,0.5949813332178628,2,19219.8,4
-2.4981635783762126,0.5821662259647988,2,19229.2,4
-2.843399417964369,0.4896898179262378,2,18360.4,4
-3.1557467680807094,0.48701552319552077,2,17789.0,4
-3.207232698481772,0.47206368258302833,2,17584.6,4
-3.188849161673391,0.43245707475649686,2,17307.8,4
-2.4650024846746117,0.44936543118879035,2,18844.8,4
-1.7257691137438231,0.47584115856521303,2,20592.6,1
-1.5649022357962235,0.44836655192073815,2,20536.6,1
-0.7542872795825206,0.422208399782693,2,22457.2,1
-0.03711012841631195,0.4168936565940363,2,23991.2,1
-0.46695044899927474,0.41721619205195287,2,22234.2,1
