Model,Best_Params
Ridge_Tuned,{'alpha': 432.87612810830615}
Lasso_Tuned,"{'max_iter': 10000, 'alpha': 0.08697490026177834}"
ElasticNet_Tuned,"{'max_iter': 10000, 'l1_ratio': 0.26842105263157895, 'alpha': 0.8111308307896873}"
RandomForest_Tuned,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10}"
XGBoost_Tuned,"{'subsample': 0.5, 'n_estimators': 300, 'max_depth': 10, 'learning_rate': 0.01, 'colsample_bytree': 1.0}"
LinearRegression_Tuned,No tuning required
