lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",300,63.5059,-0.0998
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",400,70.706,-0.2245
0.001,12,"(512, 256, 128, 64, 32, 16, 8)",500,67.5663,-0.1701
0.001,12,"(256, 128, 64, 32, 16, 8)",100,69.204,-0.1984
0.001,12,"(256, 128, 64, 32, 16, 8)",200,69.2168,-0.1987
0.001,12,"(256, 128, 64, 32, 16, 8)",300,65.627,-0.1365
0.001,12,"(256, 128, 64, 32, 16, 8)",400,67.5562,-0.1699
0.001,12,"(256, 128, 64, 32, 16, 8)",500,72.9984,-0.2642
0.001,12,"(128, 64, 32, 16, 8)",100,57.996,-0.0043
0.001,12,"(128, 64, 32, 16, 8)",200,69.3908,-0.2017
0.001,12,"(128, 64, 32, 16, 8)",300,57.6616,0.0014
0.001,12,"(128, 64, 32, 16, 8)",400,65.2222,-0.1295
0.001,12,"(128, 64, 32, 16, 8)",500,63.551,-0.1005
0.001,12,"(64, 32, 16, 8)",100,60.6053,-0.0495
0.001,12,"(64, 32, 16, 8)",200,57.3448,0.0069
0.001,12,"(64, 32, 16, 8)",300,66.0409,-0.1437
0.001,12,"(64, 32, 16, 8)",400,65.5038,-0.1344
0.001,12,"(64, 32, 16, 8)",500,68.3303,-0.1833
0.001,12,"(32, 16, 8)",100,61.7438,-0.0692
0.001,12,"(32, 16, 8)",200,63.7414,-0.1038
0.001,12,"(32, 16, 8)",300,60.5281,-0.0482
0.001,12,"(32, 16, 8)",400,57.5855,0.0028
0.001,12,"(32, 16, 8)",500,65.6541,-0.137
0.001,12,"(16, 8)",100,60.3085,-0.0444
0.001,12,"(16, 8)",200,61.443,-0.064
0.001,12,"(16, 8)",300,60.9781,-0.056
0.001,12,"(16, 8)",400,60.3512,-0.0451
0.001,12,"(16, 8)",500,59.6979,-0.0338
0.001,12,"(256, 128, 128, 64, 64, 16, 8)",100,64.2189,-0.1121
